t_s,phase,speed_index,omega_cmd_rad_s,dir,pos_ref_target,vel_ref_target,kp_target,kd_target,t_ref_target,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tau1_nm,tau2_nm,tau3_nm,tau4_nm,tau5_nm,tau6_nm
4.177056,vel_pos,0,0.050000,1,-0.032504,0.050000,20.000,1.000,0.000,-0.033000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.077962,0.712294,-0.320119,0.005751,-1.170255,-0.065174
4.179070,vel_pos,0,0.050000,1,-0.032403,0.050000,20.000,1.000,0.000,-0.033000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.008269,0.717019,-0.315394,0.000000,-1.175047,-0.050797
4.181057,vel_pos,0,0.050000,1,-0.032304,0.050000,20.000,1.000,0.000,-0.033000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.008269,0.717019,-0.315394,0.000000,-1.175047,-0.050797
4.183107,vel_pos,0,0.050000,1,-0.032201,0.050000,20.000,1.000,0.000,-0.032000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.211444,0.714656,-0.315394,0.001917,-1.168338,-0.050797
4.185066,vel_pos,0,0.050000,1,-0.032103,0.050000,20.000,1.000,0.000,-0.032000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.211444,0.714656,-0.315394,0.001917,-1.168338,-0.050797
4.187023,vel_pos,0,0.050000,1,-0.032005,0.050000,20.000,1.000,0.000,-0.032000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.211444,0.714656,-0.315394,0.001917,-1.168338,-0.050797
4.189135,vel_pos,0,0.050000,1,-0.031900,0.050000,20.000,1.000,0.000,-0.032000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.211444,0.714656,-0.315394,0.001917,-1.168338,-0.048880
4.191065,vel_pos,0,0.050000,1,-0.031803,0.050000,20.000,1.000,0.000,-0.032000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.211444,0.714656,-0.315394,0.001917,-1.168338,-0.048880
4.193149,vel_pos,0,0.050000,1,-0.031699,0.050000,20.000,1.000,0.000,-0.032000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.211444,0.714656,-0.315394,0.001917,-1.168338,-0.048880
4.195120,vel_pos,0,0.050000,1,-0.031601,0.050000,20.000,1.000,0.000,-0.032000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.022444,0.712294,-0.316575,0.004792,-1.176006,-0.048880
4.197065,vel_pos,0,0.050000,1,-0.031503,0.050000,20.000,1.000,0.000,-0.032000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.022444,0.712294,-0.316575,0.004792,-1.176006,-0.048880
4.199140,vel_pos,0,0.050000,1,-0.031400,0.050000,20.000,1.000,0.000,-0.032000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.163013,0.698119,-0.315394,0.005751,-1.167380,-0.048880
4.201064,vel_pos,0,0.050000,1,-0.031303,0.050000,20.000,1.000,0.000,-0.032000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.163013,0.698119,-0.315394,0.005751,-1.167380,-0.048880
4.203012,vel_pos,0,0.050000,1,-0.031206,0.050000,20.000,1.000,0.000,-0.032000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.163013,0.698119,-0.315394,0.005751,-1.167380,-0.048880
4.205058,vel_pos,0,0.050000,1,-0.031104,0.050000,20.000,1.000,0.000,-0.032000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.163013,0.702844,-0.315394,-0.021086,-1.167380,-0.051756
4.207066,vel_pos,0,0.050000,1,-0.031003,0.050000,20.000,1.000,0.000,-0.032000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.163013,0.702844,-0.315394,-0.021086,-1.167380,-0.051756
