t_s,phase,speed_index,omega_cmd_rad_s,dir,pos_ref_target,vel_ref_target,kp_target,kd_target,t_ref_target,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tau1_nm,tau2_nm,tau3_nm,tau4_nm,tau5_nm,tau6_nm
4.003832,vel_pos,0,0.010000,1,0.000000,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.007087,0.692213,-1.235587,-0.018210,-1.122333,-0.041213
4.005898,vel_pos,0,0.010000,1,0.000021,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.007087,0.692213,-1.235587,-0.018210,-1.122333,-0.041213
4.007972,vel_pos,0,0.010000,1,0.000041,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.007087,0.692213,-1.235587,-0.018210,-1.122333,-0.041213
4.009886,vel_pos,0,0.010000,1,0.000061,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.012994,0.692213,-1.246219,-0.018210,-1.109874,-0.041213
4.011895,vel_pos,0,0.010000,1,0.000081,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.012994,0.692213,-1.246219,-0.018210,-1.109874,-0.041213
4.013925,vel_pos,0,0.010000,1,0.000101,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.000000,0.022000,0.001000,-0.012994,0.694575,-1.246219,-0.022044,-1.109874,-0.061340
4.015854,vel_pos,0,0.010000,1,0.000120,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.000000,0.022000,0.001000,-0.012994,0.694575,-1.246219,-0.022044,-1.109874,-0.061340
4.017888,vel_pos,0,0.010000,1,0.000141,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.000000,0.022000,0.001000,-0.046069,0.699300,-1.246219,-0.058465,-1.116583,-0.061340
4.019887,vel_pos,0,0.010000,1,0.000161,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.000000,0.022000,0.001000,-0.046069,0.699300,-1.246219,-0.058465,-1.116583,-0.071883
4.021890,vel_pos,0,0.010000,1,0.000181,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.000000,0.022000,0.001000,-0.041344,0.699300,-1.246219,-0.058465,-1.116583,-0.071883
4.023935,vel_pos,0,0.010000,1,0.000201,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.000000,0.022000,0.001000,-0.041344,0.698119,-1.249762,-0.058465,-1.117541,-0.071883
4.025888,vel_pos,0,0.010000,1,0.000221,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.000000,0.022000,0.001000,-0.041344,0.698119,-1.249762,-0.058465,-1.117541,-0.071883
4.027902,vel_pos,0,0.010000,1,0.000241,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.041344,0.698119,-1.249762,-0.061340,-1.117541,-0.071883
4.029888,vel_pos,0,0.010000,1,0.000261,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.041344,0.698119,-1.249762,-0.061340,-1.117541,-0.076675
4.031944,vel_pos,0,0.010000,1,0.000281,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.041344,0.698119,-1.249762,-0.061340,-1.117541,-0.076675
4.033929,vel_pos,0,0.010000,1,0.000301,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.029531,0.701662,-1.242675,-0.060382,-1.116583,-0.068049
4.035887,vel_pos,0,0.010000,1,0.000321,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.029531,0.701662,-1.242675,-0.060382,-1.116583,-0.068049
4.037908,vel_pos,0,0.010000,1,0.000341,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,0.005906,0.694575,-1.243856,-0.032587,-1.116583,-0.068049
4.039898,vel_pos,0,0.010000,1,0.000361,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,0.005906,0.694575,-1.243856,-0.032587,-1.106040,-0.069008
4.041906,vel_pos,0,0.010000,1,0.000381,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,0.005906,0.694575,-1.243856,-0.032587,-1.106040,-0.069008
4.043979,vel_pos,0,0.010000,1,0.000401,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.009450,0.694575,-1.242675,-0.032587,-1.106040,-0.069008
4.045899,vel_pos,0,0.010000,1,0.000421,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.009450,0.694575,-1.242675,-0.032587,-1.106040,-0.069008
4.047898,vel_pos,0,0.010000,1,0.000441,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.009450,0.691031,-1.242675,-0.041213,-1.106040,-0.069008
4.049895,vel_pos,0,0.010000,1,0.000461,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.009450,0.691031,-1.242675,-0.041213,-1.116583,-0.067091
4.052024,vel_pos,0,0.010000,1,0.000482,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.009450,0.691031,-1.242675,-0.041213,-1.116583,-0.067091
4.054097,vel_pos,0,0.010000,1,0.000503,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.007087,0.701662,-1.236769,-0.039296,-1.107957,-0.069966
4.055897,vel_pos,0,0.010000,1,0.000521,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.007087,0.701662,-1.236769,-0.039296,-1.107957,-0.069966
4.057898,vel_pos,0,0.010000,1,0.000541,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.001181,0.698119,-1.249762,-0.039296,-1.107957,-0.069966
4.059899,vel_pos,0,0.010000,1,0.000561,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.001181,0.698119,-1.249762,-0.039296,-1.106998,-0.069966
4.061978,vel_pos,0,0.010000,1,0.000581,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.001181,0.698119,-1.249762,-0.039296,-1.106998,-0.069966
4.064034,vel_pos,0,0.010000,1,0.000602,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.001181,0.698119,-1.249762,-0.044088,-1.106998,-0.068049
4.065897,vel_pos,0,0.010000,1,0.000621,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.001181,0.698119,-1.249762,-0.044088,-1.106998,-0.068049
4.067889,vel_pos,0,0.010000,1,0.000641,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.002363,0.701662,-1.249762,-0.044088,-1.106998,-0.068049
4.070022,vel_pos,0,0.010000,1,0.000662,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.002363,0.701662,-1.247400,-0.046005,-1.115624,-0.076675
4.071983,vel_pos,0,0.010000,1,0.000682,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,-0.002363,0.701662,-1.247400,-0.046005,-1.115624,-0.076675
4.073952,vel_pos,0,0.010000,1,0.000701,0.010000,20.000,1.000,0.000,0.000000,-0.003000,0.005000,0.001000,0.022000,0.001000,0.021263,0.700481,-1.245038,-0.043130,-1.109874,-0.069966
