t_s,phase,speed_index,omega_cmd_rad_s,dir,pos_ref_target,vel_ref_target,kp_target,kd_target,t_ref_target,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tau1_nm,tau2_nm,tau3_nm,tau4_nm,tau5_nm,tau6_nm
4.005161,vel_pos,0,0.200000,1,0.000000,0.200000,1.000,0.500,0.000,0.000000,-0.003000,0.000000,0.001000,0.023000,0.001000,-0.009450,0.663863,-0.263419,-0.040254,-1.193258,-0.054631
4.007222,vel_pos,0,0.200000,1,0.000412,0.200000,1.000,0.500,0.000,0.000000,-0.003000,0.000000,0.001000,0.023000,0.001000,-0.009450,0.663863,-0.263419,-0.040254,-1.193258,-0.054631
4.009217,vel_pos,0,0.200000,1,0.000811,0.200000,1.000,0.500,0.000,0.000000,-0.003000,0.000000,0.001000,0.023000,0.001000,-0.009450,0.678037,-0.263419,-0.060382,-1.193258,-0.054631
4.011194,vel_pos,0,0.200000,1,0.001207,0.200000,1.000,0.500,0.000,0.000000,-0.003000,0.000000,0.001000,0.023000,0.001000,-0.009450,0.678037,-0.263419,-0.060382,-1.193258,-0.060382
4.013228,vel_pos,0,0.200000,1,0.001613,0.200000,1.000,0.500,0.000,0.000000,-0.003000,0.000000,0.001000,0.023000,0.001000,-0.009450,0.678037,-0.263419,-0.060382,-1.193258,-0.060382
4.015273,vel_pos,0,0.200000,1,0.002023,0.200000,1.000,0.500,0.000,0.000000,-0.003000,0.000000,0.001000,0.023000,0.001000,0.256331,0.665044,-0.264600,-0.064215,-1.198050,-0.056548
4.017226,vel_pos,0,0.200000,1,0.002413,0.200000,1.000,0.500,0.000,0.000000,-0.003000,0.000000,0.001000,0.023000,0.001000,0.256331,0.665044,-0.264600,-0.064215,-1.198050,-0.056548
4.019249,vel_pos,0,0.200000,1,0.002818,0.200000,1.000,0.500,0.000,0.001000,-0.003000,0.000000,0.001000,0.023000,0.001000,0.023625,0.662681,-0.271688,-0.064215,-1.198050,-0.056548
4.021219,vel_pos,0,0.200000,1,0.003212,0.200000,1.000,0.500,0.000,0.001000,-0.003000,0.000000,0.001000,0.023000,0.001000,0.023625,0.662681,-0.271688,-0.068049,-1.184632,-0.056548
4.023218,vel_pos,0,0.200000,1,0.003612,0.200000,1.000,0.500,0.000,0.001000,-0.003000,0.000000,0.001000,0.023000,0.001000,0.023625,0.662681,-0.271688,-0.068049,-1.184632,-0.056548
4.025414,vel_pos,0,0.200000,1,0.004051,0.200000,1.000,0.500,0.000,0.002000,-0.003000,0.000000,0.001000,0.023000,0.001000,0.204356,0.662681,-0.271688,-0.068049,-1.184632,-0.056548
4.027219,vel_pos,0,0.200000,1,0.004412,0.200000,1.000,0.500,0.000,0.002000,-0.003000,0.000000,0.001000,0.023000,0.001000,0.204356,0.662681,-0.271688,-0.068049,-1.184632,-0.052714
