t_s,phase,speed_index,omega_cmd_rad_s,dir,pos_ref_target,vel_ref_target,kp_target,kd_target,t_ref_target,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tau1_nm,tau2_nm,tau3_nm,tau4_nm,tau5_nm,tau6_nm
4.003972,vel_pos,0,0.010000,1,0.000000,0.010000,15.000,1.000,0.000,0.000000,-0.003000,0.003000,0.002000,0.022000,0.001000,-0.142931,0.591806,-0.835144,-0.097761,-1.130959,-0.059423
4.006037,vel_pos,0,0.010000,1,0.000021,0.010000,15.000,1.000,0.000,0.000000,-0.003000,0.003000,0.002000,0.022000,0.001000,-0.142931,0.591806,-0.835144,-0.097761,-1.130959,-0.059423
4.008056,vel_pos,0,0.010000,1,0.000041,0.010000,15.000,1.000,0.000,0.000000,-0.003000,0.003000,0.002000,0.022000,0.001000,-0.142931,0.601256,-0.835144,-0.097761,-1.130959,-0.059423
4.010039,vel_pos,0,0.010000,1,0.000061,0.010000,15.000,1.000,0.000,0.000000,-0.003000,0.003000,0.002000,0.022000,0.001000,-0.142931,0.601256,-0.835144,-0.097761,-1.130959,-0.031629
4.012085,vel_pos,0,0.010000,1,0.000081,0.010000,15.000,1.000,0.000,0.000000,-0.003000,0.003000,0.002000,0.022000,0.001000,-0.127575,0.601256,-0.835144,-0.097761,-1.130959,-0.031629
4.014028,vel_pos,0,0.010000,1,0.000101,0.010000,15.000,1.000,0.000,0.000000,-0.003000,0.003000,0.002000,0.022000,0.001000,-0.127575,0.601256,-0.850500,-0.092969,-1.127125,-0.043130
4.016029,vel_pos,0,0.010000,1,0.000121,0.010000,15.000,1.000,0.000,0.000000,-0.003000,0.003000,0.002000,0.022000,0.001000,-0.127575,0.601256,-0.850500,-0.092969,-1.127125,-0.043130
4.018059,vel_pos,0,0.010000,1,0.000141,0.010000,15.000,1.000,0.000,0.000000,-0.003000,0.003000,0.002000,0.022000,0.001000,-0.102769,0.601256,-0.830419,-0.080509,-1.122333,-0.043130
4.020028,vel_pos,0,0.010000,1,0.000161,0.010000,15.000,1.000,0.000,0.000000,-0.003000,0.003000,0.002000,0.022000,0.001000,-0.102769,0.601256,-0.830419,-0.080509,-1.122333,-0.033545
4.022111,vel_pos,0,0.010000,1,0.000181,0.010000,15.000,1.000,0.000,0.000000,-0.003000,0.003000,0.002000,0.022000,0.001000,-0.129938,0.595350,-0.830419,-0.080509,-1.122333,-0.033545
