time_s,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm,angle_ref_rad,vel_ref_rad_s,joint_id
2.03009694814682e-05,0.0,0.006,-0.007,0.0,-0.008,0.0,0.11458125,0.8245125,-1.08556875,-0.03162852,-1.17025524,-0.01341816,0.0,0.0,1
0.008814864326268435,0.0,0.006,-0.007,0.0,-0.008,0.0,0.11458125,0.07087500000000001,-0.4725,-0.03162852,-0.37283316,0.00670908,5.585053606381854e-07,0.0005585053606381855,1
0.014315891079604626,0.0,0.006,-0.007,0.0,-0.008,0.0,0.11458125,0.07087500000000001,-0.4725,-0.03162852,-0.37283316,0.00670908,2.2340214425527417e-06,0.001117010721276371,1
0.017733882181346416,0.0,0.004,-0.005,0.0,-0.008,0.0,0.0590625,0.5303812499999999,-0.46659375,-0.0335454,-0.37283316,0.00670908,5.026548245743669e-06,0.0016755160819145565,1
0.02091897325590253,0.0,0.004,-0.005,0.0,-0.008,0.0,0.0590625,0.5303812499999999,-0.46659375,-0.0335454,-0.37283316,0.00670908,8.936085770210967e-06,0.002234021442552742,1
0.0249410392716527,0.0,0.004,-0.005,0.0,-0.004,0.0,0.11576249999999999,0.5303812499999999,-0.46659375,-0.01629348,-0.60477564,0.00670908,1.3962634015954637e-05,0.0027925268031909274,1
0.02808000799268484,0.0,0.004,-0.005,0.0,-0.004,0.0,0.11576249999999999,0.5303812499999999,-0.46659375,-0.01629348,-0.60477564,0.00670908,2.0106192982974677e-05,0.003351032163829113,1
0.029366482980549335,0.0,0.004,-0.005,0.0,-0.004,0.0,0.11576249999999999,0.5303812499999999,-0.46659375,-0.01629348,-0.60477564,0.01150128,2.736676267127109e-05,0.003909537524467298,1
0.03101916704326868,0.0,0.003,-0.005,0.0,-0.001,0.0,0.09568125,0.29649375,0.080325,-0.01629348,-0.66994956,-0.004792199999999999,3.574434308084387e-05,0.004468042885105484,1
0.03784121433272958,0.0,0.002,-0.004,0.0,-0.001,0.0,0.09568125,0.40753124999999996,-0.04843125,0.004792199999999999,-0.66994956,-0.004792199999999999,4.5238934211693033e-05,0.00502654824574367,1
0.041425368282943964,0.0,0.002,-0.004,0.0,-0.001,0.0,0.057881249999999995,0.40753124999999996,-0.04843125,0.004792199999999999,-0.66994956,-0.004792199999999999,5.585053606381855e-05,0.005585053606381855,1
0.04455077135935426,0.0,0.001,-0.003,0.0,0.001,0.0,0.057881249999999995,0.66031875,0.11221874999999999,-0.03642072,-0.7102040399999999,0.01629348,6.757914863722044e-05,0.00614355896702004,1
0.04929009219631553,0.0,0.001,-0.003,0.0,0.003,0.0,0.06024375,0.66031875,0.11221874999999999,-0.05558952,-0.76100136,-0.03929604,8.04247719318987e-05,0.006702064327658226,1
0.05306720407679677,0.0,0.001,-0.003,0.0,0.003,0.0,0.06024375,0.66031875,0.11221874999999999,-0.05558952,-0.76100136,-0.03929604,9.438740594785337e-05,0.007260569688296412,1
