time_s,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm,angle_ref_rad,vel_ref_rad_s,joint_id
1.9588042050600052e-05,0.0,0.006,-0.007,0.0,-0.008,0.0,-0.04134375,0.7063875,-1.261575,-0.056547959999999994,-1.13479296,-0.09392712,0.0,0.0,1
0.006001545116305351,0.0,0.006,-0.007,0.0,-0.008,0.0,-0.04134375,0.7063875,-1.261575,-0.056547959999999994,-1.13958516,-0.09392712,5.585053606381854e-07,0.0005585053606381855,1
0.00939522311091423,0.0,0.005,-0.005,0.0,-0.006,0.0,-0.02008125,0.354375,-0.6000749999999999,-0.0143766,-0.36229032,-0.00766752,2.2340214425527417e-06,0.001117010721276371,1
0.020824580918997526,0.0,0.004,-0.005,0.0,-0.006,0.0,-0.03189375,0.22089375,-0.6000749999999999,-0.0143766,-0.36229032,-0.00766752,5.026548245743669e-06,0.0016755160819145565,1
0.025465254206210375,0.0,0.004,-0.004,0.0,-0.002,0.0,-0.03189375,0.22089375,-0.23034374999999999,0.012459719999999999,-0.41308764,-0.00766752,8.936085770210967e-06,0.002234021442552742,1
0.028711486142128706,0.0,0.004,-0.004,0.0,0.0,0.0,-0.03189375,0.22089375,-0.23034374999999999,0.012459719999999999,-0.3546228,-0.00766752,1.3962634015954637e-05,0.0027925268031909274,1
0.0339999720454216,0.0,0.003,-0.003,0.0,0.0,0.0,-0.02716875,0.34374374999999996,-0.38390624999999995,0.02108568,-0.3546228,0.00287532,2.0106192982974677e-05,0.003351032163829113,1
0.0394030399620533,0.0,0.001,-0.002,0.0,0.006,0.0,-0.014174999999999998,0.66740625,-0.7182,0.00191688,-0.5808146399999999,-0.012459719999999999,2.736676267127109e-05,0.003909537524467298,1
0.04846090404316783,0.0,0.0,0.0,0.0,0.006,0.0,-0.014174999999999998,0.72174375,-0.9426374999999999,0.00191688,-0.5808146399999999,0.00383376,3.574434308084387e-05,0.004468042885105484,1
0.053453329019248486,0.0,-0.002,0.001,0.0,0.012,0.0,-0.012993749999999998,0.7205625,-1.07375625,0.00670908,-0.7044534,0.00383376,4.5238934211693033e-05,0.00502654824574367,1
0.059251239988952875,0.0,-0.002,0.002,0.0,0.012,0.0,-0.012993749999999998,0.7205625,-1.0312312499999998,0.01054284,-0.7044534,0.00383376,5.585053606381855e-05,0.005585053606381855,1
0.061157159972935915,0.0,-0.002,0.002,0.0,0.017,0.0,-0.012993749999999998,0.7205625,-1.0312312499999998,0.01054284,-0.85972068,0.009584399999999998,6.757914863722044e-05,0.00614355896702004,1
0.06398462690412998,0.0,-0.002,0.002,0.0,0.017,0.0,-0.012993749999999998,0.7205625,-1.0312312499999998,0.01054284,-0.85972068,0.009584399999999998,8.04247719318987e-05,0.006702064327658226,1
