time_s,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm,angle_ref_rad,vel_ref_rad_s,joint_id
2.0007137209177017e-05,0.0,0.006,-0.007,0.0,-0.008,0.0,-0.1299375,0.41225625,-1.0099687499999999,-0.12555564,-1.2105097200000001,-0.05463108,0.0,0.0,1
0.01068789791315794,0.0,0.006,-0.007,0.0,-0.008,0.0,-0.1299375,0.41225625,-1.0099687499999999,-0.12555564,-1.2105097200000001,-0.05463108,5.585053606381854e-07,0.0005585053606381855,1
0.012550291139632463,0.0,0.005,-0.006,0.0,-0.008,0.0,-0.11930624999999999,0.29885625,-0.74773125,-0.05367264,-0.72170532,-0.05463108,2.2340214425527417e-06,0.001117010721276371,1
0.01712851505726576,0.0,0.005,-0.006,0.0,-0.008,0.0,-0.11930624999999999,0.29885625,-0.74773125,-0.05367264,-0.72170532,-0.05463108,5.026548245743669e-06,0.0016755160819145565,1
0.01873982371762395,0.0,0.005,-0.006,0.0,-0.008,0.0,-0.11930624999999999,0.29885625,-0.74773125,-0.05367264,-0.72170532,-0.05463108,8.936085770210967e-06,0.002234021442552742,1
0.01998114911839366,0.0,0.005,-0.006,0.0,-0.005,0.0,-0.11930624999999999,0.29885625,-0.74773125,-0.05367264,-0.39679416,0.00287532,1.3962634015954637e-05,0.0027925268031909274,1
0.025109455920755863,0.0,0.005,-0.006,0.0,-0.005,0.0,-0.1110375,0.29885625,-0.74773125,-0.05367264,-0.39679416,0.00287532,2.0106192982974677e-05,0.003351032163829113,1
0.028697845991700888,0.0,0.004,-0.005,0.0,-0.005,0.0,-0.1110375,0.34374374999999996,-0.4465125,-0.02012724,-0.39679416,-0.019168799999999996,2.736676267127109e-05,0.003909537524467298,1
0.03163838107138872,0.0,0.003,-0.004,0.0,-0.002,0.0,-0.0921375,0.32484375,-0.2338875,-0.023961,-0.39775259999999996,-0.019168799999999996,3.574434308084387e-05,0.004468042885105484,1
0.03715048311278224,0.0,0.003,-0.004,0.0,-0.002,0.0,-0.0637875,0.32484375,-0.2338875,-0.023961,-0.39775259999999996,-0.019168799999999996,4.5238934211693033e-05,0.00502654824574367,1
0.040265304036438465,0.0,0.003,-0.004,0.0,0.0,0.0,-0.0637875,0.32484375,-0.2338875,0.01533504,-0.33353711999999996,0.00670908,5.585053606381855e-05,0.005585053606381855,1
0.04301945911720395,0.0,0.003,-0.004,0.0,0.0,0.0,-0.0637875,0.32484375,-0.2338875,0.01533504,-0.33353711999999996,0.00670908,6.757914863722044e-05,0.00614355896702004,1
0.04595698183402419,0.0,0.002,-0.002,0.0,0.0,0.0,-0.0637875,0.46186875,-0.61070625,0.01533504,-0.33353711999999996,0.01629348,8.04247719318987e-05,0.006702064327658226,1
0.05022247601300478,0.0,0.0,-0.001,0.0,0.003,0.0,-0.07678125,0.65205,-0.87530625,0.00670908,-0.42554736,0.01725192,9.438740594785337e-05,0.007260569688296412,1
