t_s,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,qd_target_rad_s,tau_ff_target_nm,tau_pd_target_nm,tau_total_target_model_nm,tau_total_target_actual_nm
0.001553,0.006000,0.100000,0.006000,0.000000,3.179649,0.079271,3.258920,1.629460
0.008633,0.006500,0.100000,0.006000,0.000000,3.179649,0.087198,3.266847,1.633424
0.014148,0.007000,0.100000,0.006000,0.000000,3.179649,0.095125,3.274774,1.637387
0.019252,0.007500,0.100000,0.006000,-0.042000,3.179649,0.136345,3.315995,1.657997
0.024656,0.008000,0.100000,0.006000,-0.016000,3.179649,0.123662,3.303311,1.651656
0.030542,0.008500,0.100000,0.006000,-0.002000,3.179649,0.120491,3.300141,1.650070
0.035703,0.009000,0.100000,0.006000,-0.002000,3.179649,0.128418,3.308068,1.654034
0.040847,0.009500,0.100000,0.006000,-0.044000,3.179649,0.169639,3.349288,1.674644
0.046080,0.010000,0.100000,0.006000,-0.044000,3.179648,0.177566,3.357214,1.678607
0.051295,0.010500,0.100000,0.006000,-0.009000,3.179645,0.157748,3.337393,1.668697
0.056574,0.011000,0.100000,0.005000,-0.023000,3.180906,0.192626,3.373532,1.686766
0.061767,0.011500,0.100000,0.005000,-0.051000,3.180883,0.222742,3.403625,1.701812
0.066604,0.012000,0.100000,0.005000,-0.051000,3.180883,0.230669,3.411551,1.705776
0.071690,0.012500,0.100000,0.005000,-0.028000,3.180881,0.220363,3.401244,1.700622
0.076759,0.013000,0.100000,0.005000,-0.031000,3.180858,0.230661,3.411519,1.705760
0.082074,0.013500,0.100000,0.005000,-0.031000,3.180858,0.238588,3.419446,1.709723
0.086938,0.014000,0.100000,0.005000,-0.026000,3.180857,0.242551,3.423408,1.711704
0.092311,0.014500,0.100000,0.005000,-0.009000,3.180857,0.237002,3.417859,1.708930
0.097130,0.015000,0.100000,0.005000,-0.002000,3.180857,0.239380,3.420237,1.710119
0.102203,0.015500,0.100000,0.005000,-0.002000,3.180857,0.247307,3.428164,1.714082
0.107430,0.016000,0.100000,0.004000,-0.008000,3.182116,0.275842,3.457959,1.728979
0.112580,0.016500,0.100000,0.004000,0.000000,3.182116,0.277428,3.459544,1.729772
0.118167,0.017000,0.100000,0.004000,0.000000,3.182116,0.285354,3.467470,1.733735
0.123098,0.017500,0.100000,0.004000,0.000000,3.182116,0.293281,3.475397,1.737698
0.128330,0.018000,0.100000,0.004000,0.000000,3.182116,0.301207,3.483323,1.741662
0.133258,0.018500,0.100000,0.004000,0.000000,3.182116,0.309134,3.491250,1.745625
0.138311,0.019000,0.100000,0.004000,0.000000,3.182116,0.317060,3.499177,1.749588
0.143653,0.019500,0.100000,0.004000,0.000000,3.182116,0.324987,3.507103,1.753552
0.148391,0.020000,0.100000,0.004000,0.000000,3.182097,0.332904,3.515001,1.757500
0.153512,0.020500,0.100000,0.004000,0.000000,3.182097,0.340831,3.522927,1.761464
0.158993,0.021000,0.100000,0.004000,0.000000,3.182097,0.348757,3.530854,1.765427
0.164508,0.021500,0.100000,0.004000,0.000000,3.182097,0.356683,3.538780,1.769390
0.169773,0.022000,0.100000,0.004000,0.000000,3.182097,0.364610,3.546706,1.773353
0.175084,0.022500,0.100000,0.004000,0.000000,3.182097,0.372536,3.554632,1.777316
0.180334,0.023000,0.100000,0.004000,0.000000,3.182097,0.380462,3.562559,1.781279
0.185517,0.023500,0.100000,0.004000,0.000000,3.182097,0.388388,3.570485,1.785243
0.190860,0.024000,0.100000,0.004000,0.000000,3.182097,0.396315,3.578411,1.789206
0.197301,0.024500,0.100000,0.004000,0.000000,3.182097,0.404241,3.586338,1.793169
0.202559,0.025000,0.100000,0.005000,0.006000,3.180838,0.391559,3.572397,1.786199
0.207474,0.025500,0.100000,0.005000,0.006000,3.180838,0.399485,3.580324,1.790162
0.213461,0.026000,0.100000,0.005000,0.000000,3.180838,0.412167,3.593006,1.796503
0.218138,0.026500,0.100000,0.005000,0.000000,3.180838,0.420094,3.600932,1.800466
0.223199,0.027000,0.100000,0.005000,0.000000,3.180838,0.428020,3.608858,1.804429
0.228543,0.027500,0.100000,0.005000,0.000000,3.180838,0.435946,3.616785,1.808392
0.233665,0.028000,0.100000,0.005000,0.000000,3.180838,0.443873,3.624711,1.812355
0.238488,0.028500,0.100000,0.005000,0.000000,3.180838,0.451799,3.632637,1.816319
0.243582,0.029000,0.100000,0.005000,0.000000,3.180838,0.459725,3.640564,1.820282
0.249016,0.029500,0.100000,0.005000,0.000000,3.180838,0.467651,3.648490,1.824245
0.254239,0.030000,0.100000,0.005000,0.000000,3.180838,0.475578,3.656416,1.828208
0.260078,0.030500,0.100000,0.005000,0.000000,3.180838,0.483504,3.664342,1.832171
0.265848,0.031000,0.100000,0.005000,0.000000,3.180838,0.491430,3.672269,1.836134
0.270959,0.031500,0.100000,0.005000,0.000000,3.180838,0.499357,3.680195,1.840098
0.276062,0.032000,0.100000,0.005000,0.000000,3.180838,0.507283,3.688121,1.844061
0.281507,0.032500,0.100000,0.005000,0.000000,3.180838,0.515209,3.696048,1.848024
0.286504,0.033000,0.100000,0.005000,0.000000,3.180838,0.523135,3.703974,1.851987
0.291709,0.033500,0.100000,0.005000,0.000000,3.180838,0.531062,3.711900,1.855950
0.296590,0.034000,0.100000,0.005000,0.000000,3.180838,0.538988,3.719826,1.859913
0.301662,0.034500,0.100000,0.005000,0.000000,3.180838,0.546914,3.727753,1.863876
0.306745,0.035000,0.100000,0.005000,0.000000,3.180838,0.554841,3.735679,1.867840
0.311827,0.035500,0.100000,0.005000,0.000000,3.180838,0.562767,3.743605,1.871803
0.317553,0.036000,0.100000,0.005000,0.000000,3.180838,0.570693,3.751532,1.875766
