t_s,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,qd_target_rad_s,tau_ff_target_nm,tau_pd_target_nm,tau_total_target_model_nm,tau_total_target_actual_nm
0.003838,0.006000,0.100000,0.006000,0.000000,3.179649,0.079271,3.258920,1.629460
0.007204,0.006500,0.100000,0.006000,0.000000,3.179649,0.080856,3.260505,1.630253
0.014210,0.007000,0.100000,0.006000,0.000000,3.179649,0.082441,3.262091,1.631045
0.019237,0.007500,0.100000,0.006000,-0.036000,3.179649,0.112564,3.292214,1.646107
0.024381,0.008000,0.100000,0.006000,-0.036000,3.179649,0.114150,3.293799,1.646900
0.029521,0.008500,0.100000,0.006000,-0.015000,3.179649,0.099088,3.278738,1.639369
0.034649,0.009000,0.100000,0.006000,0.000000,3.179649,0.088783,3.268432,1.634216
0.039569,0.009500,0.100000,0.006000,0.000000,3.179648,0.090368,3.270017,1.635008
0.045066,0.010000,0.100000,0.006000,-0.021000,3.179645,0.108600,3.288246,1.644123
0.050441,0.010500,0.100000,0.006000,-0.020000,3.179624,0.109390,3.289013,1.644507
0.056063,0.011000,0.100000,0.006000,-0.009000,3.179604,0.102253,3.281857,1.640929
0.060965,0.011500,0.100000,0.006000,-0.009000,3.179601,0.103838,3.283439,1.641720
0.066308,0.012000,0.100000,0.006000,-0.002000,3.179579,0.099872,3.279451,1.639725
0.071449,0.012500,0.100000,0.006000,0.000000,3.179579,0.099872,3.279451,1.639725
0.076262,0.013000,0.100000,0.006000,0.000000,3.179577,0.101457,3.281034,1.640517
0.081316,0.013500,0.100000,0.006000,0.000000,3.179576,0.103042,3.282618,1.641309
0.086450,0.014000,0.100000,0.006000,0.000000,3.179576,0.104627,3.284203,1.642102
0.091925,0.014500,0.100000,0.006000,0.000000,3.179576,0.106212,3.285788,1.642894
0.097107,0.015000,0.100000,0.006000,0.000000,3.179577,0.107798,3.287375,1.643687
0.104741,0.015500,0.100000,0.006000,0.000000,3.179577,0.109383,3.288960,1.644480
0.110010,0.016000,0.100000,0.006000,0.000000,3.179577,0.110968,3.290545,1.645273
0.115232,0.016500,0.100000,0.006000,0.000000,3.179577,0.112553,3.292131,1.646065
0.120422,0.017000,0.100000,0.006000,0.000000,3.179577,0.114139,3.293716,1.646858
0.125602,0.017500,0.100000,0.006000,0.000000,3.179577,0.115724,3.295301,1.647651
0.130428,0.018000,0.100000,0.006000,0.000000,3.179577,0.117309,3.296886,1.648443
0.135626,0.018500,0.100000,0.006000,0.000000,3.179577,0.118894,3.298472,1.649236
0.141241,0.019000,0.100000,0.006000,0.000000,3.179577,0.120480,3.300057,1.650028
0.146019,0.019500,0.100000,0.006000,0.000000,3.179577,0.122065,3.301642,1.650821
0.151123,0.020000,0.100000,0.006000,0.000000,3.179577,0.123650,3.303227,1.651614
0.156225,0.020500,0.100000,0.006000,0.000000,3.179577,0.125235,3.304813,1.652406
0.161352,0.021000,0.100000,0.006000,0.000000,3.179577,0.126821,3.306398,1.653199
