t_s,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,tau_ff_target_nm,tau_total_target_est_nm
0.000068,0.000000,0.100000,0.000000,0.000000,0.000000
0.011103,0.001000,0.100000,0.000000,0.000000,0.000000
0.015819,0.002000,0.100000,0.000000,0.000000,0.000000
0.018777,0.003000,0.100000,0.000000,0.000000,0.000000
0.022118,0.004000,0.100000,0.000000,0.000000,0.000000
0.026551,0.005000,0.100000,0.000000,0.000000,0.000000
0.030049,0.006000,0.100000,0.000000,0.000000,0.000000
0.033692,0.007000,0.100000,0.000000,0.000000,0.000000
0.040583,0.008000,0.100000,0.000000,-0.000000,-0.000000
0.046875,0.009000,0.100000,0.000000,-0.000000,-0.000000
0.052052,0.010000,0.100000,0.000000,-0.000000,-0.000000
0.055734,0.011000,0.100000,0.000000,0.000000,0.000000
0.059332,0.012000,0.100000,0.000000,0.000000,0.000000
0.063133,0.013000,0.100000,0.000000,-0.000000,-0.000000
0.067032,0.014000,0.100000,0.000000,-0.000000,-0.000000
0.070648,0.015000,0.100000,0.000000,-0.000000,-0.000000
0.074098,0.016000,0.100000,0.000000,0.000000,0.000000
0.077489,0.017000,0.100000,0.000000,0.000000,0.000000
0.081977,0.018000,0.100000,0.000000,-0.000000,-0.000000
0.085748,0.019000,0.100000,0.000000,-0.000000,-0.000000
0.089344,0.020000,0.100000,0.000000,-0.000000,-0.000000
0.113252,0.021000,0.100000,0.000000,0.000000,0.000000
0.117190,0.022000,0.100000,0.000000,-0.000000,-0.000000
0.121467,0.023000,0.100000,0.000000,-0.000000,-0.000000
0.129853,0.024000,0.100000,0.000000,-0.000000,-0.000000
0.134083,0.025000,0.100000,0.000000,-0.000000,-0.000000
0.139097,0.026000,0.100000,0.000000,0.000000,0.000000
0.142549,0.027000,0.100000,0.000000,0.000000,0.000000
0.146334,0.028000,0.100000,0.000000,-0.000000,-0.000000
0.150710,0.029000,0.100000,0.000000,-0.000000,-0.000000
0.152350,0.030000,0.100000,0.000000,-0.000000,-0.000000
0.153846,0.031000,0.100000,0.000000,-0.000000,-0.000000
0.155323,0.032000,0.100000,0.000000,-0.000000,-0.000000
0.157115,0.033000,0.100000,0.000000,-0.000000,-0.000000
0.163076,0.034000,0.100000,0.000000,-0.000000,-0.000000
0.182143,0.035000,0.100000,0.000000,-0.000000,-0.000000
0.185910,0.036000,0.100000,0.000000,-0.000000,-0.000000
0.189493,0.037000,0.100000,0.000000,-0.000000,-0.000000
0.200829,0.038000,0.100000,0.000000,-0.000000,-0.000000
0.204145,0.039000,0.100000,0.000000,-0.000000,-0.000000
0.208531,0.040000,0.100000,0.000000,-0.000000,-0.000000
