time_s,target_angle_rad,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_velocity_rad_s,joint2_velocity_rad_s,joint3_velocity_rad_s,joint4_velocity_rad_s,joint5_velocity_rad_s,joint6_velocity_rad_s,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm
0.0000,-60.0000,0.000000,0.705000,-0.705000,0.347000,-1.050000,0.000000,0.011000,0.004000,0.000000,0.023000,-0.007000,0.051000,0.037800,0.255150,-1.131637,-0.416921,-0.484971,-0.050797
0.0021,-60.0000,0.000000,0.705000,-0.705000,0.347000,-1.050000,0.000000,0.011000,0.004000,0.000000,0.023000,-0.007000,0.051000,0.037800,0.255150,-1.131637,-0.416921,-0.484971,-0.050797
0.0042,-59.9970,0.000000,0.705000,-0.705000,0.347000,-1.050000,0.000000,0.011000,0.004000,-0.002000,0.003000,-0.009000,-0.009000,0.037800,0.255150,-1.123369,-0.425547,-0.483054,-0.065174
0.0062,-59.9930,0.000000,0.705000,-0.705000,0.347000,-1.050000,0.000000,0.011000,0.004000,-0.002000,0.003000,-0.009000,-0.009000,0.037800,0.255150,-1.123369,-0.425547,-0.483054,-0.065174
0.0084,-59.9870,0.000000,0.705000,-0.705000,0.347000,-1.050000,0.000000,0.011000,0.004000,-0.002000,0.003000,-0.009000,-0.009000,0.037800,0.255150,-1.123369,-0.425547,-0.483054,-0.065174
0.0105,-59.9800,0.000000,0.705000,-0.705000,0.347000,-1.050000,0.000000,-0.005000,0.003000,0.002000,0.013000,-0.017000,-0.009000,0.068512,0.238612,-1.126912,-0.424589,-0.505098,-0.018210
0.0125,-59.9710,0.000000,0.705000,-0.705000,0.347000,-1.050000,0.000000,-0.005000,0.003000,0.002000,0.013000,-0.017000,-0.009000,0.068512,0.238612,-1.126912,-0.424589,-0.505098,-0.018210
0.0146,-59.9600,0.000000,0.705000,-0.705000,0.347000,-1.050000,0.000000,-0.007000,-0.001000,-0.001000,0.013000,-0.017000,-0.009000,0.063787,0.248062,-1.128094,-0.424589,-0.505098,-0.018210
0.0167,-59.9480,0.000000,0.705000,-0.705000,0.347000,-1.050000,0.000000,-0.007000,-0.001000,-0.001000,0.013000,-0.017000,-0.009000,0.063787,0.248062,-1.128094,-0.424589,-0.505098,-0.018210
0.0190,-59.9320,0.000000,0.705000,-0.705000,0.347000,-1.050000,0.000000,0.002000,-0.001000,-0.001000,0.013000,-0.017000,-0.009000,0.041344,0.248062,-1.128094,-0.424589,-0.505098,-0.018210
0.0210,-59.9170,0.000000,0.705000,-0.705000,0.348000,-1.050000,0.000000,0.002000,-0.001000,-0.001000,0.000000,0.001000,-0.001000,0.041344,0.248062,-1.128094,-0.433215,-0.474428,-0.023961
