t_s,phase,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,tau_ff_target_nm,tau_total_target_est_nm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tau_ff_1_nm,tau_ff_2_nm,tau_ff_3_nm,tau_ff_4_nm,tau_ff_5_nm,tau_ff_6_nm
0.301974,const_vel,0.040000,0.100000,-0.034000,2.712405,3.082405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.313013,const_vel,0.041000,0.100000,-0.034000,2.712405,3.087405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.320279,const_vel,0.042000,0.100000,-0.034000,2.712405,3.092405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.330522,const_vel,0.043000,0.100000,-0.034000,2.712405,3.097405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.340429,const_vel,0.044000,0.100000,-0.034000,2.712405,3.102405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.351059,const_vel,0.045000,0.100000,-0.034000,2.712405,3.107405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.360324,const_vel,0.046000,0.100000,-0.034000,2.712405,3.112405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.370194,const_vel,0.047000,0.100000,-0.034000,2.712405,3.117405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.382824,const_vel,0.048000,0.100000,-0.034000,2.712405,3.122405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.390140,const_vel,0.049000,0.100000,-0.034000,2.712405,3.127405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.400167,const_vel,0.050000,0.100000,-0.034000,2.712405,3.132405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.410296,const_vel,0.051000,0.100000,-0.034000,2.712405,3.137405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.421257,const_vel,0.052000,0.100000,-0.034000,2.712405,3.142405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.431666,const_vel,0.053000,0.100000,-0.034000,2.712405,3.147405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.440199,const_vel,0.054000,0.100000,-0.034000,2.712405,3.152405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.453317,const_vel,0.055000,0.100000,-0.034000,2.712405,3.157405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.462990,const_vel,0.056000,0.100000,-0.034000,2.712405,3.162405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.470200,const_vel,0.057000,0.100000,-0.034000,2.712405,3.167405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.480269,const_vel,0.058000,0.100000,-0.034000,2.712405,3.172405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.490291,const_vel,0.059000,0.100000,-0.034000,2.712405,3.177405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.500517,const_vel,0.060000,0.100000,-0.034000,2.712405,3.182405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.510662,const_vel,0.061000,0.100000,-0.034000,2.712405,3.187405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.520379,const_vel,0.062000,0.100000,-0.034000,2.712405,3.192405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.530993,const_vel,0.063000,0.100000,-0.034000,2.755283,3.240283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.540513,const_vel,0.064000,0.100000,-0.034000,2.755283,3.245283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.553535,const_vel,0.065000,0.100000,-0.034000,2.755283,3.250283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.563123,const_vel,0.066000,0.100000,-0.034000,2.755283,3.255283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.571784,const_vel,0.067000,0.100000,-0.034000,2.755283,3.260283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.582666,const_vel,0.068000,0.100000,-0.034000,2.755283,3.265283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
