t_s,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,tau_ff_target_nm,tau_total_target_est_nm
0.000989,0.006000,0.100000,0.006000,3.179649,3.179649
0.011107,0.007000,0.100000,0.006000,3.179649,3.199649
0.023283,0.008000,0.100000,0.006000,3.179649,3.219649
0.031400,0.009000,0.100000,0.006000,3.179649,3.239649
0.042432,0.010000,0.100000,0.006000,3.179649,3.259649
0.053291,0.011000,0.100000,0.006000,3.179647,3.279647
0.062911,0.012000,0.100000,0.006000,3.179626,3.299626
0.073300,0.013000,0.100000,0.006000,3.179601,3.319601
0.083329,0.014000,0.100000,0.006000,3.179598,3.339598
0.093649,0.015000,0.100000,0.007000,3.178331,3.338331
0.104560,0.016000,0.100000,0.007000,3.178312,3.358312
0.114183,0.017000,0.100000,0.009000,3.175774,3.335774
0.124417,0.018000,0.100000,0.011000,3.173223,3.313223
0.134691,0.019000,0.100000,0.012000,3.171943,3.311943
0.144874,0.020000,0.100000,0.015000,3.168082,3.268082
0.154938,0.021000,0.100000,0.016000,3.166789,3.266789
0.165131,0.022000,0.100000,0.017000,3.165493,3.265493
0.175328,0.023000,0.100000,0.018000,3.164194,3.264194
0.185428,0.024000,0.100000,0.019000,3.162891,3.262891
0.196085,0.025000,0.100000,0.021000,3.160277,3.240277
0.205733,0.026000,0.100000,0.021000,3.160277,3.260277
0.216347,0.027000,0.100000,0.022000,3.158965,3.258965
0.226308,0.028000,0.100000,0.022000,3.158965,3.278965
0.237002,0.029000,0.100000,0.023000,3.157650,3.277650
0.248051,0.030000,0.100000,0.023000,3.157650,3.297650
0.256580,0.031000,0.100000,0.023000,3.157650,3.317650
0.268157,0.032000,0.100000,0.025000,3.155010,3.295010
0.277255,0.033000,0.100000,0.025000,3.155010,3.315010
0.287614,0.034000,0.100000,0.027000,3.152357,3.292357
0.297921,0.035000,0.100000,0.027000,3.152357,3.312357
0.308202,0.036000,0.100000,0.029000,3.149692,3.289692
0.318451,0.037000,0.100000,0.031000,3.147014,3.267014
0.328610,0.038000,0.100000,0.032000,3.145671,3.265671
0.339879,0.039000,0.100000,0.034000,3.142974,3.242974
0.350351,0.040000,0.100000,0.036000,3.140265,3.220265
0.360267,0.041000,0.100000,0.036000,3.140265,3.240265
0.370609,0.042000,0.100000,0.038000,3.137544,3.217544
0.380801,0.043000,0.100000,0.038000,3.137544,3.237544
0.390885,0.044000,0.100000,0.038000,3.137544,3.257544
