time_s,tau_cmd_j1,tau_cmd_j2,tau_cmd_j3,tau_cmd_j4,tau_cmd_j5,tau_cmd_j6
0.0036536213010549545,-6.288372600415926e-18,0.6964304828968239,-1.1826847911448402,-0.08496224956539178,-1.073531382693819,-0.039783614773839626
0.015101540833711624,-6.288372600415926e-18,0.6964304828968239,-1.1826847911448402,-0.08496224956539178,-1.073531382693819,-0.039783614773839626
0.023710738867521286,-6.288372600415926e-18,0.6964304828968239,-1.1826847911448402,-0.08496224956539178,-1.073531382693819,-0.039783614773839626
0.035531552508473396,-1.0842021724855044e-18,0.6964290195208248,-1.1826862545208392,-0.0847283162822804,-1.0755506230633247,-0.03981782945065523
0.044829096645116806,5.204170427930421e-18,0.6964706738565382,-1.1826446001851267,-0.08465775767376085,-1.076356225042936,-0.039843234926446675
0.055556656792759895,1.1275702593849246e-17,0.6965512394910681,-1.1825640345505968,-0.08471898262055336,-1.0759545280575948,-0.03983045684531916
0.06431928649544716,-8.673617379884035e-18,0.6966320206633138,-1.1824832533783511,-0.08478017662173376,-1.0755517551178158,-0.0398176409845041
0.0753573477268219,-1.5829351718288365e-17,0.6963358608308426,-1.1826052582383288,-0.08478951702747693,-1.0751467728383066,-0.03980497576157347
0.08591839484870434,-1.5829351718288365e-17,0.6963358608308426,-1.1826052582383288,-0.08478951702747693,-1.0751467728383066,-0.03980497576157347
0.09561173617839813,-8.673617379884035e-18,0.6966320206633138,-1.1824832533783511,-0.08478017662173376,-1.0755517551178158,-0.0398176409845041
0.10699039325118065,-8.673617379884035e-18,0.6966320206633138,-1.1824832533783511,-0.08478017662173376,-1.0755517551178158,-0.0398176409845041
0.11585107631981373,-8.673617379884035e-18,0.6966320206633138,-1.1824832533783511,-0.08478017662173376,-1.0755517551178158,-0.0398176409845041
0.12915820255875587,-1.5829351718288365e-17,0.6963358608308426,-1.1826052582383288,-0.08478951702747693,-1.0751467728383066,-0.03980497576157347
0.13584407232701778,-1.5829351718288365e-17,0.6963358608308426,-1.1826052582383288,-0.08478951702747693,-1.0751467728383066,-0.03980497576157347
0.14582587033510208,-4.336808689942018e-18,0.6963383967181717,-1.1826027223509998,-0.08475751337929834,-1.0751339058142675,-0.03977483015862989
0.15702686458826065,-6.288372600415926e-18,0.6963434616562317,-1.1825976574129398,-0.08469338168959756,-1.0751082050698435,-0.039714419658447575
0.1657668985426426,-6.288372600415926e-18,0.6963434616562317,-1.1825976574129398,-0.08469338168959756,-1.0751082050698435,-0.039714419658447575
0.1765755321830511,-6.288372600415926e-18,0.6963434616562317,-1.1825976574129398,-0.08469338168959756,-1.0751082050698435,-0.039714419658447575
0.18756239116191864,-6.288372600415926e-18,0.6963434616562317,-1.1825976574129398,-0.08469338168959756,-1.0751082050698435,-0.039714419658447575
0.19723630510270596,-6.288372600415926e-18,0.6963434616562317,-1.1825976574129398,-0.08469338168959756,-1.0751082050698435,-0.039714419658447575
0.20996781066060066,-6.288372600415926e-18,0.6963434616562317,-1.1825976574129398,-0.08469338168959756,-1.0751082050698435,-0.039714419658447575
0.21747641824185848,-6.288372600415926e-18,0.6963434616562317,-1.1825976574129398,-0.08469338168959756,-1.0751082050698435,-0.039714419658447575
0.2284916713833809,-6.288372600415926e-18,0.6963434616562317,-1.1825976574129398,-0.08469338168959756,-1.0751082050698435,-0.039714419658447575
0.23792007192969322,-6.288372600415926e-18,0.6963434616562317,-1.1825976574129398,-0.08469338168959756,-1.0751082050698435,-0.039714419658447575
0.24947353638708591,-6.288372600415926e-18,0.6963434616562317,-1.1825976574129398,-0.08469338168959756,-1.0751082050698435,-0.039714419658447575
0.2581951227039099,-6.288372600415926e-18,0.6963434616562317,-1.1825976574129398,-0.08469338168959756,-1.0751082050698435,-0.039714419658447575
0.26837727427482605,-6.288372600415926e-18,0.6963434616562317,-1.1825976574129398,-0.08469338168959756,-1.0751082050698435,-0.039714419658447575
0.28032058477401733,-6.288372600415926e-18,0.6963434616562317,-1.1825976574129398,-0.08469338168959756,-1.0751082050698435,-0.039714419658447575
