t_s,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,qd_target_rad_s,tau_ff_target_nm,tau_pd_target_nm,tau_total_target_model_nm,tau_total_target_actual_nm
0.001290,-0.034000,0.100000,-0.034000,0.000000,3.215453,0.155725,3.371178,1.685589
0.010033,-0.033500,0.100000,-0.034000,0.000000,3.215453,0.179084,3.394537,1.697268
0.015251,-0.033000,0.100000,-0.034000,0.000000,3.215453,0.202442,3.417895,1.708948
0.020153,-0.032500,0.100000,-0.034000,0.092000,3.215453,0.082534,3.297987,1.648994
0.025240,-0.032000,0.100000,-0.032000,0.286000,3.213963,-0.289727,2.924236,1.462118
0.030375,-0.031500,0.100000,-0.030000,0.321000,3.212332,-0.414470,2.797862,1.398931
0.035451,-0.031000,0.100000,-0.030000,0.321000,3.212332,-0.391098,2.821234,1.410617
0.040876,-0.030500,0.100000,-0.029000,0.130000,3.211729,-0.116896,3.094832,1.547416
0.045558,-0.030000,0.100000,-0.029000,0.002000,3.211669,0.105988,3.317657,1.658829
0.051106,-0.029500,0.100000,-0.029000,0.002000,3.211669,0.129368,3.341037,1.670518
0.057730,-0.029000,0.100000,-0.029000,0.008000,3.211230,0.143356,3.354586,1.677293
0.062198,-0.028500,0.100000,-0.028000,0.105000,3.210243,-0.031164,3.179079,1.589539
0.067422,-0.028000,0.100000,-0.027000,0.097000,3.209253,-0.042072,3.167181,1.583591
0.072546,-0.027500,0.100000,-0.027000,0.097000,3.209253,-0.018699,3.190555,1.595277
0.077764,-0.027000,0.100000,-0.027000,0.002000,3.209253,0.152706,3.361959,1.680980
0.084993,-0.026500,0.100000,-0.028000,-0.054000,3.210303,0.310080,3.520383,1.760191
0.090231,-0.026000,0.100000,-0.028000,-0.031000,3.210303,0.297614,3.507917,1.753959
0.095082,-0.025500,0.100000,-0.028000,-0.024000,3.210303,0.310080,3.520383,1.760191
0.100349,-0.025000,0.100000,-0.028000,-0.002000,3.210303,0.299173,3.509476,1.754738
0.105331,-0.024500,0.100000,-0.028000,-0.002000,3.210303,0.322545,3.532848,1.766424
0.111259,-0.024000,0.100000,-0.028000,-0.007000,3.210303,0.353709,3.564012,1.782006
0.116155,-0.023500,0.100000,-0.028000,0.000000,3.210303,0.366175,3.576478,1.788239
0.121114,-0.023000,0.100000,-0.028000,0.000000,3.210303,0.389548,3.599851,1.799925
0.126234,-0.022500,0.100000,-0.028000,0.000000,3.210303,0.412920,3.623223,1.811612
0.131424,-0.022000,0.100000,-0.028000,0.070000,3.210303,0.327220,3.537523,1.768762
0.136932,-0.021500,0.100000,-0.028000,0.013000,3.210303,0.439410,3.649713,1.824856
0.141937,-0.021000,0.100000,-0.028000,0.013000,3.210303,0.462782,3.673086,1.836543
0.147176,-0.020500,0.100000,-0.028000,0.002000,3.210303,0.503295,3.713599,1.856799
