t_s,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,tau_ff_target_nm,tau_total_target_est_nm
0.004397,0.194000,0.100000,0.194000,2.887692,2.887692
0.014312,0.195000,0.100000,0.194000,2.887692,2.901692
0.024614,0.196000,0.100000,0.194000,2.887692,2.915692
0.034752,0.197000,0.100000,0.194000,2.887692,2.929692
0.044817,0.198000,0.100000,0.194000,2.887692,2.943692
0.057916,0.199000,0.100000,0.194000,2.887692,2.957692
0.065778,0.200000,0.100000,0.194000,2.887692,2.971692
0.078178,0.201000,0.100000,0.194000,2.887692,2.985692
0.088418,0.202000,0.100000,0.194000,2.887692,2.999692
0.098606,0.203000,0.100000,0.195000,2.885863,2.997863
0.108814,0.204000,0.100000,0.195000,2.885863,3.011863
0.118912,0.205000,0.100000,0.196000,2.884030,3.010030
0.129341,0.206000,0.100000,0.197000,2.882167,3.008167
0.139138,0.207000,0.100000,0.198000,2.880329,3.006329
0.149201,0.208000,0.100000,0.200000,2.876643,2.988643
0.161756,0.209000,0.100000,0.202000,2.872945,2.970945
0.170150,0.210000,0.100000,0.204000,2.869237,2.953237
0.180658,0.211000,0.100000,0.204000,2.869237,2.967237
0.191808,0.212000,0.100000,0.206000,2.865516,2.949516
0.200408,0.213000,0.100000,0.207000,2.863652,2.947652
0.211331,0.214000,0.100000,0.207000,2.863652,2.961652
0.221666,0.215000,0.100000,0.208000,2.861785,2.959785
0.231934,0.216000,0.100000,0.209000,2.859915,2.957915
0.242362,0.217000,0.100000,0.210000,2.858042,2.956042
0.252584,0.218000,0.100000,0.211000,2.856166,2.954166
0.262859,0.219000,0.100000,0.212000,2.854287,2.952287
0.272816,0.220000,0.100000,0.213000,2.852405,2.950405
0.283361,0.221000,0.100000,0.214000,2.850521,2.948521
0.293444,0.222000,0.100000,0.215000,2.848634,2.946634
0.303761,0.223000,0.100000,0.216000,2.846712,2.944712
0.314026,0.224000,0.100000,0.216000,2.846712,2.958712
0.324138,0.225000,0.100000,0.218000,2.842922,2.940922
0.334439,0.226000,0.100000,0.219000,2.840991,2.938991
0.344443,0.227000,0.100000,0.220000,2.839057,2.937057
0.354525,0.228000,0.100000,0.221000,2.837152,2.935152
0.365704,0.229000,0.100000,0.223000,2.833333,2.917333
0.377902,0.230000,0.100000,0.224000,2.831419,2.915419
0.385656,0.231000,0.100000,0.224000,2.831419,2.929419
0.396204,0.232000,0.100000,0.225000,2.829503,2.927503
0.406406,0.233000,0.100000,0.225000,2.829503,2.941503
0.416628,0.234000,0.100000,0.227000,2.825662,2.923662
0.426903,0.235000,0.100000,0.227000,2.825662,2.937662
0.437158,0.236000,0.100000,0.228000,2.823737,2.935737
0.447296,0.237000,0.100000,0.229000,2.821809,2.933809
0.457575,0.238000,0.100000,0.230000,2.819879,2.931879
0.467940,0.239000,0.100000,0.232000,2.816009,2.914009
0.478211,0.240000,0.100000,0.233000,2.814070,2.912070
0.488449,0.241000,0.100000,0.234000,2.812093,2.910093
0.498747,0.242000,0.100000,0.236000,2.808200,2.892200
0.508820,0.243000,0.100000,0.237000,2.806250,2.890250
0.518797,0.244000,0.100000,0.239000,2.802341,2.872341
0.529033,0.245000,0.100000,0.239000,2.802304,2.886304
0.539609,0.246000,0.100000,0.240000,2.800345,2.884345
0.550947,0.247000,0.100000,0.241000,2.798347,2.882347
0.560330,0.248000,0.100000,0.241000,2.798347,2.896347
0.569841,0.249000,0.100000,0.241000,2.798347,2.910347
0.580286,0.250000,0.100000,0.241000,2.798347,2.924347
0.590597,0.251000,0.100000,0.242000,2.796382,2.922382
0.601179,0.252000,0.100000,0.242000,2.796382,2.936382
0.612200,0.253000,0.100000,0.243000,2.794414,2.934414
0.622518,0.254000,0.100000,0.245000,2.790433,2.916433
0.632691,0.255000,0.100000,0.245000,2.790433,2.930433
0.642932,0.256000,0.100000,0.248000,2.784457,2.896457
0.653239,0.257000,0.100000,0.250000,2.780409,2.878409
0.663119,0.258000,0.100000,0.251000,2.778380,2.876380
0.673825,0.259000,0.100000,0.253000,2.774351,2.858351
0.683483,0.260000,0.100000,0.255000,2.770311,2.840311
0.694118,0.261000,0.100000,0.256000,2.768305,2.838305
0.704375,0.262000,0.100000,0.257000,2.766258,2.836258
0.714143,0.263000,0.100000,0.259000,2.762233,2.818233
0.724137,0.264000,0.100000,0.259000,2.762233,2.832233
0.734317,0.265000,0.100000,0.259000,2.762233,2.846233
0.744521,0.266000,0.100000,0.259000,2.762233,2.860233
0.755123,0.267000,0.100000,0.260000,2.760216,2.858216
0.765060,0.268000,0.100000,0.260000,2.760216,2.872216
0.775567,0.269000,0.100000,0.260000,2.760216,2.886216
0.787147,0.270000,0.100000,0.260000,2.760216,2.900216
0.797444,0.271000,0.100000,0.261000,2.758196,2.898196
0.807630,0.272000,0.100000,0.262000,2.756174,2.896174
0.817981,0.273000,0.100000,0.263000,2.754149,2.894149
0.828960,0.274000,0.100000,0.264000,2.752121,2.892121
0.838320,0.275000,0.100000,0.266000,2.748057,2.874057
0.848458,0.276000,0.100000,0.269000,2.741940,2.839940
0.858825,0.277000,0.100000,0.270000,2.739896,2.837896
0.868682,0.278000,0.100000,0.273000,2.733746,2.803746
