t_s,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,tau_ff_target_nm,tau_total_target_est_nm
0.000629,0.000000,0.100000,0.000000,0.000000,0.000000
0.008230,0.001000,0.100000,0.000000,0.000000,0.000000
0.012211,0.002000,0.100000,0.000000,0.000000,0.000000
0.015933,0.003000,0.100000,0.000000,0.000000,0.000000
0.019400,0.004000,0.100000,0.000000,0.000000,0.000000
0.022829,0.005000,0.100000,0.000000,0.000000,0.000000
0.026299,0.006000,0.100000,0.000000,0.000000,0.000000
0.029701,0.007000,0.100000,0.000000,0.000000,0.000000
0.036872,0.008000,0.100000,0.000000,0.000000,0.000000
0.040293,0.009000,0.100000,0.000000,0.000000,0.000000
0.043749,0.010000,0.100000,0.000000,0.000000,0.000000
0.045559,0.011000,0.100000,0.000000,0.000000,0.000000
0.052450,0.012000,0.100000,0.000000,0.000000,0.000000
0.059038,0.013000,0.100000,0.000000,0.000000,0.000000
0.062362,0.014000,0.100000,0.000000,0.000000,0.000000
0.066858,0.015000,0.100000,0.000000,0.000000,0.000000
0.070193,0.016000,0.100000,0.000000,0.000000,0.000000
0.074789,0.017000,0.100000,0.000000,-0.000000,-0.000000
0.080009,0.018000,0.100000,0.000000,0.000000,0.000000
0.089681,0.019000,0.100000,0.000000,-0.000000,-0.000000
0.096687,0.020000,0.100000,0.000000,-0.000000,-0.000000
0.108634,0.021000,0.100000,0.000000,-0.000000,-0.000000
0.114609,0.022000,0.100000,0.000000,-0.000000,-0.000000
0.129566,0.023000,0.100000,0.000000,0.000000,0.000000
0.132978,0.024000,0.100000,0.000000,0.000000,0.000000
0.136385,0.025000,0.100000,0.000000,0.000000,0.000000
0.139828,0.026000,0.100000,0.000000,0.000000,0.000000
0.143205,0.027000,0.100000,0.000000,0.000000,0.000000
0.148819,0.028000,0.100000,0.000000,-0.000000,-0.000000
0.153368,0.029000,0.100000,0.000000,-0.000000,-0.000000
0.167916,0.030000,0.100000,0.000000,-0.000000,-0.000000
0.169383,0.031000,0.100000,0.000000,-0.000000,-0.000000
0.173948,0.032000,0.100000,0.000000,-0.000000,-0.000000
0.177773,0.033000,0.100000,0.000000,-0.000000,-0.000000
0.181393,0.034000,0.100000,0.000000,-0.000000,-0.000000
0.184826,0.035000,0.100000,0.000000,-0.000000,-0.000000
0.188315,0.036000,0.100000,0.000000,-0.000000,-0.000000
0.191603,0.037000,0.100000,0.000000,-0.000000,-0.000000
0.195005,0.038000,0.100000,0.000000,-0.000000,-0.000000
0.199211,0.039000,0.100000,0.000000,-0.000000,-0.000000
0.203368,0.040000,0.100000,0.000000,-0.000000,-0.000000
0.219476,0.041000,0.100000,0.000000,-0.000000,-0.000000
0.224309,0.042000,0.100000,0.000000,-0.000000,-0.000000
0.227822,0.043000,0.100000,0.000000,-0.000000,-0.000000
0.234521,0.044000,0.100000,0.000000,-0.000000,-0.000000
0.238214,0.045000,0.100000,0.000000,-0.000000,-0.000000
0.241697,0.046000,0.100000,0.000000,-0.000000,-0.000000
0.244986,0.047000,0.100000,0.000000,-0.000000,-0.000000
0.248387,0.048000,0.100000,0.000000,-0.000000,-0.000000
0.255261,0.049000,0.100000,0.000000,-0.000000,-0.000000
0.258670,0.050000,0.100000,0.000000,-0.000000,-0.000000
0.261969,0.051000,0.100000,0.000000,-0.000000,-0.000000
0.265885,0.052000,0.100000,0.000000,-0.000000,-0.000000
0.270035,0.053000,0.100000,0.000000,-0.000000,-0.000000
0.277142,0.054000,0.100000,0.000000,-0.000000,-0.000000
0.284307,0.055000,0.100000,0.000000,-0.000000,-0.000000
0.290637,0.056000,0.100000,0.000000,-0.000000,-0.000000
0.297129,0.057000,0.100000,0.000000,-0.000000,-0.000000
0.303171,0.058000,0.100000,0.000000,-0.000000,-0.000000
0.310524,0.059000,0.100000,0.000000,-0.000000,-0.000000
0.316543,0.060000,0.100000,0.000000,-0.000000,-0.000000
0.323366,0.061000,0.100000,0.000000,-0.000000,-0.000000
0.330864,0.062000,0.100000,0.000000,-0.000000,-0.000000
0.337052,0.063000,0.100000,0.000000,-0.000000,-0.000000
0.343190,0.064000,0.100000,0.000000,-0.000000,-0.000000
0.350426,0.065000,0.100000,0.000000,-0.000000,-0.000000
0.357435,0.066000,0.100000,0.000000,-0.000000,-0.000000
0.365374,0.067000,0.100000,0.000000,-0.000000,-0.000000
0.369526,0.068000,0.100000,0.000000,-0.000000,-0.000000
0.390742,0.069000,0.100000,0.000000,-0.000000,-0.000000
0.394420,0.070000,0.100000,0.000000,-0.000000,-0.000000
0.398498,0.071000,0.100000,0.000000,-0.000000,-0.000000
0.402395,0.072000,0.100000,0.000000,-0.000000,-0.000000
0.405925,0.073000,0.100000,0.000000,-0.000000,-0.000000
0.409411,0.074000,0.100000,0.000000,-0.000000,-0.000000
