t_s,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,tau_ff_target_nm,tau_total_target_est_nm
0.001024,0.006000,0.100000,0.006000,3.179649,3.179649
0.010607,0.007000,0.100000,0.006000,3.179649,3.185649
0.020955,0.008000,0.100000,0.006000,3.179649,3.191649
0.030945,0.009000,0.100000,0.006000,3.179649,3.197649
0.041015,0.010000,0.100000,0.006000,3.179648,3.203648
0.051011,0.011000,0.100000,0.005000,3.180887,3.216887
0.064906,0.012000,0.100000,0.005000,3.180885,3.222885
0.072354,0.013000,0.100000,0.005000,3.180842,3.228842
0.082116,0.014000,0.100000,0.005000,3.180838,3.234838
0.092742,0.015000,0.100000,0.005000,3.180837,3.240837
0.103921,0.016000,0.100000,0.005000,3.180838,3.246838
0.113074,0.017000,0.100000,0.005000,3.180838,3.252838
0.123472,0.018000,0.100000,0.005000,3.180838,3.258838
0.133636,0.019000,0.100000,0.005000,3.180838,3.264838
0.143807,0.020000,0.100000,0.005000,3.180838,3.270838
0.154071,0.021000,0.100000,0.005000,3.180838,3.276838
0.164179,0.022000,0.100000,0.006000,3.179577,3.275577
0.174434,0.023000,0.100000,0.006000,3.179577,3.281577
0.184608,0.024000,0.100000,0.006000,3.179577,3.287577
0.194806,0.025000,0.100000,0.006000,3.179577,3.293577
0.204970,0.026000,0.100000,0.007000,3.178313,3.292313
0.214990,0.027000,0.100000,0.007000,3.178313,3.298313
0.225174,0.028000,0.100000,0.007000,3.178313,3.304313
0.235316,0.029000,0.100000,0.007000,3.178313,3.310313
0.245649,0.030000,0.100000,0.007000,3.178313,3.316313
0.255987,0.031000,0.100000,0.007000,3.178313,3.322313
0.266323,0.032000,0.100000,0.008000,3.177045,3.321045
0.276169,0.033000,0.100000,0.010000,3.174500,3.312500
0.286142,0.034000,0.100000,0.011000,3.173223,3.311223
0.296387,0.035000,0.100000,0.014000,3.169372,3.295372
0.308873,0.036000,0.100000,0.015000,3.168082,3.294082
0.318154,0.037000,0.100000,0.017000,3.165493,3.285493
0.327099,0.038000,0.100000,0.021000,3.160277,3.262277
0.339982,0.039000,0.100000,0.023000,3.157650,3.253650
0.347827,0.040000,0.100000,0.026000,3.153685,3.237685
0.358599,0.041000,0.100000,0.028000,3.151026,3.229026
0.369322,0.042000,0.100000,0.032000,3.145671,3.205671
0.379321,0.043000,0.100000,0.035000,3.141621,3.189621
0.389698,0.044000,0.100000,0.036000,3.140265,3.188265
0.400224,0.045000,0.100000,0.038000,3.137544,3.179544
0.410229,0.046000,0.100000,0.039000,3.136178,3.178178
0.420110,0.047000,0.100000,0.040000,3.134809,3.176809
0.430199,0.048000,0.100000,0.041000,3.133438,3.175438
0.440281,0.049000,0.100000,0.041000,3.133438,3.181438
0.450372,0.050000,0.100000,0.041000,3.133438,3.187438
0.460455,0.051000,0.100000,0.041000,3.133438,3.193438
0.470561,0.052000,0.100000,0.041000,3.133438,3.199438
0.480625,0.053000,0.100000,0.041000,3.133438,3.205438
0.490705,0.054000,0.100000,0.041000,3.133438,3.211438
