time_s,target_angle_rad,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_velocity_rad_s,joint2_velocity_rad_s,joint3_velocity_rad_s,joint4_velocity_rad_s,joint5_velocity_rad_s,joint6_velocity_rad_s,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm
0.0000,-80.0000,0.000000,0.534000,-1.400000,0.872000,0.515000,0.000000,0.000000,0.000000,-0.007000,-0.007000,-0.003000,-0.005000,-0.132300,0.954450,-0.988706,0.243444,-0.810840,-0.065174
0.0021,-80.0000,0.000000,0.534000,-1.400000,0.872000,0.515000,0.000000,0.000000,0.000000,0.001000,-0.007000,0.024000,-0.005000,-0.132300,0.954450,-0.976894,0.243444,-0.821383,-0.065174
0.0042,-79.9980,0.000000,0.534000,-1.400000,0.872000,0.515000,0.000000,0.000000,0.000000,0.001000,-0.007000,0.024000,-0.005000,-0.132300,0.954450,-0.976894,0.243444,-0.821383,-0.065174
0.0063,-79.9960,0.000000,0.534000,-1.400000,0.872000,0.515000,0.000000,0.001000,0.000000,0.001000,-0.007000,0.024000,-0.005000,-0.120487,0.954450,-0.976894,0.243444,-0.821383,-0.065174
0.0083,-79.9920,0.000000,0.534000,-1.400000,0.873000,0.515000,0.000000,0.001000,-0.003000,0.001000,0.001000,0.024000,0.034000,-0.120487,0.929644,-0.976894,0.225233,-0.821383,-0.067091
0.0104,-79.9870,0.000000,0.534000,-1.400000,0.873000,0.515000,0.000000,0.001000,-0.003000,0.001000,0.001000,0.024000,0.034000,-0.120487,0.929644,-0.976894,0.225233,-0.821383,-0.067091
0.0125,-79.9810,0.000000,0.534000,-1.400000,0.873000,0.515000,0.000000,0.000000,-0.003000,-0.001000,0.011000,0.001000,-0.003000,-0.125213,0.946181,-0.978075,0.221400,-0.802214,-0.069008
0.0146,-79.9740,0.000000,0.534000,-1.400000,0.873000,0.515000,0.000000,0.000000,-0.003000,-0.001000,0.011000,0.001000,-0.003000,-0.125213,0.946181,-0.978075,0.221400,-0.802214,-0.069008
0.0168,-79.9650,0.000000,0.534000,-1.400000,0.873000,0.515000,0.000000,0.001000,0.000000,0.003000,0.011000,0.001000,-0.003000,-0.134662,0.915469,-0.959175,0.221400,-0.802214,-0.069008
0.0188,-79.9560,0.000000,0.534000,-1.400000,0.873000,0.515000,0.000000,0.001000,0.000000,0.003000,0.011000,0.005000,-0.003000,-0.134662,0.915469,-0.959175,0.221400,-0.819466,-0.069008
0.0210,-79.9450,0.000000,0.534000,-1.400000,0.873000,0.515000,0.000000,0.001000,0.000000,0.003000,0.011000,0.005000,-0.003000,-0.134662,0.915469,-0.959175,0.221400,-0.819466,-0.069008
0.0230,-79.9330,0.000000,0.534000,-1.399000,0.873000,0.515000,0.000000,0.001000,0.000000,0.022000,-0.005000,0.005000,-0.005000,-0.134662,0.915469,-0.904837,0.227150,-0.819466,-0.078592
0.0251,-79.9210,0.000000,0.534000,-1.399000,0.873000,0.515000,0.000000,0.001000,0.000000,0.022000,-0.005000,0.005000,-0.005000,-0.134662,0.915469,-0.904837,0.227150,-0.819466,-0.078592
0.0272,-79.9070,0.000000,0.534000,-1.399000,0.873000,0.515000,0.000000,0.000000,0.000000,0.022000,0.000000,0.011000,-0.005000,-0.133481,0.933187,-0.904837,0.230026,-0.818508,-0.078592
0.0293,-79.8920,0.000000,0.534000,-1.399000,0.873000,0.515000,0.000000,0.000000,0.000000,0.022000,0.000000,0.011000,0.003000,-0.133481,0.933187,-0.904837,0.230026,-0.818508,-0.069966
0.0316,-79.8750,0.000000,0.534000,-1.399000,0.873000,0.515000,0.000000,-0.001000,0.000000,0.022000,0.000000,0.011000,0.003000,-0.121669,0.933187,-0.904837,0.230026,-0.818508,-0.069966
0.0336,-79.8580,0.000000,0.534000,-1.399000,0.873000,0.515000,0.000000,-0.001000,-0.003000,0.028000,0.007000,-0.005000,-0.001000,-0.121669,0.920194,-0.816244,0.230026,-0.800297,-0.069008
0.0358,-79.8380,0.000000,0.534000,-1.399000,0.873000,0.515000,0.000000,-0.001000,-0.003000,0.028000,0.007000,-0.005000,-0.001000,-0.121669,0.920194,-0.816244,0.230026,-0.800297,-0.069008
0.0379,-79.8190,0.000000,0.534000,-1.399000,0.873000,0.515000,0.000000,-0.001000,-0.003000,0.033000,0.007000,-0.090000,-0.001000,-0.121669,0.920194,-0.738281,0.230026,-0.739916,-0.069008
