t_s,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,tau_ff_target_nm,tau_total_target_est_nm
0.001225,0.006000,0.100000,0.006000,3.179649,3.179649
0.013235,0.007000,0.100000,0.006000,3.179649,3.189649
0.023516,0.008000,0.100000,0.006000,3.179649,3.199649
0.033733,0.009000,0.100000,0.006000,3.179649,3.209649
0.043901,0.010000,0.100000,0.006000,3.179648,3.219648
0.054492,0.011000,0.100000,0.006000,3.179645,3.229645
0.064642,0.012000,0.100000,0.005000,3.180884,3.250884
0.074791,0.013000,0.100000,0.005000,3.180841,3.260841
0.084877,0.014000,0.100000,0.005000,3.180838,3.270838
0.095009,0.015000,0.100000,0.006000,3.179577,3.269577
0.105655,0.016000,0.100000,0.006000,3.179577,3.279577
0.115660,0.017000,0.100000,0.006000,3.179577,3.289577
0.125932,0.018000,0.100000,0.006000,3.179577,3.299577
0.136023,0.019000,0.100000,0.006000,3.179577,3.309577
0.145916,0.020000,0.100000,0.006000,3.179577,3.319577
0.156142,0.021000,0.100000,0.006000,3.179577,3.329577
0.166977,0.022000,0.100000,0.006000,3.179577,3.339577
0.179885,0.023000,0.100000,0.006000,3.179577,3.349577
0.189235,0.024000,0.100000,0.007000,3.178313,3.348313
0.197893,0.025000,0.100000,0.008000,3.177045,3.347045
0.208061,0.026000,0.100000,0.009000,3.175774,3.345774
0.218307,0.027000,0.100000,0.010000,3.174500,3.344500
0.228571,0.028000,0.100000,0.013000,3.170659,3.320659
0.238752,0.029000,0.100000,0.015000,3.168082,3.308082
0.248950,0.030000,0.100000,0.019000,3.162891,3.272891
0.259538,0.031000,0.100000,0.024000,3.156331,3.226331
0.269512,0.032000,0.100000,0.025000,3.155010,3.225010
0.279832,0.033000,0.100000,0.029000,3.149692,3.189692
0.290040,0.034000,0.100000,0.030000,3.148355,3.188355
0.300069,0.035000,0.100000,0.033000,3.144324,3.164324
0.310463,0.036000,0.100000,0.033000,3.144324,3.174324
0.320527,0.037000,0.100000,0.035000,3.141621,3.161621
0.331065,0.038000,0.100000,0.035000,3.141621,3.171621
0.341193,0.039000,0.100000,0.035000,3.141621,3.181621
0.351359,0.040000,0.100000,0.035000,3.141621,3.191621
0.361461,0.041000,0.100000,0.035000,3.141621,3.201621
0.371850,0.042000,0.100000,0.035000,3.141621,3.211621
0.381515,0.043000,0.100000,0.035000,3.141621,3.221621
0.392305,0.044000,0.100000,0.035000,3.141621,3.231621
0.402226,0.045000,0.100000,0.035000,3.141621,3.241621
0.414881,0.046000,0.100000,0.035000,3.141621,3.251621
0.425105,0.047000,0.100000,0.035000,3.141621,3.261621
0.435522,0.048000,0.100000,0.035000,3.141621,3.271621
0.445188,0.049000,0.100000,0.035000,3.141621,3.281621
0.455458,0.050000,0.100000,0.035000,3.141621,3.291621
0.465660,0.051000,0.100000,0.035000,3.141621,3.301621
0.475862,0.052000,0.100000,0.037000,3.138906,3.288906
0.485948,0.053000,0.100000,0.038000,3.137544,3.287544
0.496135,0.054000,0.100000,0.041000,3.133438,3.263438
0.507019,0.055000,0.100000,0.042000,3.132063,3.262063
0.517114,0.056000,0.100000,0.044000,3.129303,3.249303
0.527789,0.057000,0.100000,0.048000,3.123747,3.213747
0.537732,0.058000,0.100000,0.050000,3.120950,3.200950
0.547595,0.059000,0.100000,0.053000,3.116732,3.176732
0.557774,0.060000,0.100000,0.055000,3.113904,3.163904
0.568485,0.061000,0.100000,0.058000,3.109638,3.139638
0.580486,0.062000,0.100000,0.059000,3.108210,3.138210
0.592252,0.063000,0.100000,0.060000,3.106779,3.136779
0.603649,0.064000,0.100000,0.060000,3.106779,3.146779
0.625954,0.065000,0.100000,0.061000,3.105345,3.145345
0.633672,0.066000,0.100000,0.061000,3.105345,3.155345
0.643263,0.067000,0.100000,0.061000,3.105345,3.165345
0.655118,0.068000,0.100000,0.061000,3.105345,3.175345
0.663514,0.069000,0.100000,0.061000,3.105345,3.185345
0.673828,0.070000,0.100000,0.061000,3.105345,3.195345
0.691084,0.071000,0.100000,0.061000,3.105345,3.205345
0.700863,0.072000,0.100000,0.061000,3.105345,3.215345
0.711127,0.073000,0.100000,0.061000,3.105345,3.225345
0.721329,0.074000,0.100000,0.061000,3.105345,3.235345
0.731126,0.075000,0.100000,0.061000,3.105345,3.245345
0.745274,0.076000,0.100000,0.062000,3.103908,3.243908
0.751784,0.077000,0.100000,0.062000,3.103908,3.253908
0.762820,0.078000,0.100000,0.063000,3.102467,3.252467
0.772333,0.079000,0.100000,0.064000,3.101024,3.251024
0.782513,0.080000,0.100000,0.065000,3.099577,3.249577
0.792748,0.081000,0.100000,0.068000,3.095219,3.225219
0.803063,0.082000,0.100000,0.070000,3.092297,3.212297
0.813290,0.083000,0.100000,0.072000,3.089364,3.199364
0.823630,0.084000,0.100000,0.074000,3.086418,3.186418
