t_s,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,qd_target_rad_s,tau_ff_target_nm,tau_pd_target_nm,tau_total_target_model_nm,tau_total_target_actual_nm
0.000838,0.006000,0.100000,0.006000,0.000000,3.179649,0.158541,3.338191,1.669095
0.006321,0.006500,0.100000,0.006000,0.000000,3.179649,0.174395,3.354045,1.677022
0.011091,0.007000,0.100000,0.006000,0.000000,3.179649,0.190249,3.369899,1.684949
0.016278,0.007500,0.100000,0.006000,0.000000,3.179649,0.206104,3.385753,1.692876
0.025369,0.008000,0.100000,0.006000,-0.014000,3.179649,0.244153,3.423803,1.711901
0.030596,0.008500,0.100000,0.006000,-0.014000,3.179649,0.260008,3.439657,1.719828
0.035716,0.009000,0.100000,0.006000,-0.002000,3.179649,0.256837,3.436486,1.718243
0.040764,0.009500,0.100000,0.006000,-0.002000,3.179647,0.272690,3.452338,1.726169
0.045834,0.010000,0.100000,0.006000,-0.045000,3.179645,0.356716,3.536361,1.768181
0.051080,0.010500,0.100000,0.006000,-0.045000,3.179645,0.372570,3.552215,1.776108
0.055983,0.011000,0.100000,0.006000,-0.014000,3.179643,0.339275,3.518918,1.759459
0.061067,0.011500,0.100000,0.005000,-0.020000,3.180882,0.396338,3.577219,1.788610
0.066124,0.012000,0.100000,0.005000,-0.016000,3.180879,0.405848,3.586727,1.793363
0.072149,0.012500,0.100000,0.005000,-0.016000,3.180859,0.421691,3.602550,1.801275
0.080200,0.013000,0.100000,0.005000,0.000000,3.180836,0.412166,3.593003,1.796501
0.085042,0.013500,0.100000,0.005000,0.000000,3.180836,0.428019,3.608855,1.804428
0.090838,0.014000,0.100000,0.005000,0.000000,3.180835,0.443871,3.624706,1.812353
0.095687,0.014500,0.100000,0.005000,0.000000,3.180835,0.459723,3.640559,1.820279
0.100971,0.015000,0.100000,0.005000,0.000000,3.180835,0.475576,3.656411,1.828206
0.106637,0.015500,0.100000,0.005000,0.000000,3.180835,0.491429,3.672264,1.836132
0.111540,0.016000,0.100000,0.005000,0.000000,3.180835,0.507281,3.688117,1.844058
0.116762,0.016500,0.100000,0.005000,0.000000,3.180835,0.523134,3.703969,1.851985
0.121962,0.017000,0.100000,0.005000,0.000000,3.180835,0.538986,3.719822,1.859911
0.127186,0.017500,0.100000,0.005000,0.000000,3.180835,0.554839,3.735674,1.867837
0.135340,0.018000,0.100000,0.005000,0.000000,3.180835,0.570691,3.751527,1.875763
0.140373,0.018500,0.100000,0.005000,0.000000,3.180835,0.586544,3.767379,1.883690
0.145447,0.019000,0.100000,0.005000,0.000000,3.180835,0.602396,3.783232,1.891616
0.151092,0.019500,0.100000,0.005000,0.000000,3.180835,0.618249,3.799084,1.899542
0.156034,0.020000,0.100000,0.005000,0.000000,3.180835,0.634101,3.814937,1.907468
0.161099,0.020500,0.100000,0.005000,0.000000,3.180835,0.649954,3.830789,1.915395
0.166246,0.021000,0.100000,0.005000,0.000000,3.180835,0.665806,3.846642,1.923321
0.172431,0.021500,0.100000,0.005000,0.000000,3.180835,0.681659,3.862494,1.931247
0.176883,0.022000,0.100000,0.005000,0.000000,3.180835,0.697511,3.878347,1.939173
0.182090,0.022500,0.100000,0.005000,0.007000,3.180835,0.702267,3.883103,1.941551
0.190568,0.023000,0.100000,0.005000,0.000000,3.180835,0.729217,3.910052,1.955026
0.195395,0.023500,0.100000,0.005000,0.000000,3.180835,0.745069,3.925905,1.962952
0.201098,0.024000,0.100000,0.006000,0.005000,3.179574,0.721290,3.900864,1.950432
0.206216,0.024500,0.100000,0.006000,0.000000,3.179574,0.745069,3.924643,1.962322
0.211304,0.025000,0.100000,0.006000,0.000000,3.179574,0.760922,3.940496,1.970248
0.216418,0.025500,0.100000,0.006000,0.009000,3.179574,0.762507,3.942081,1.971041
0.222074,0.026000,0.100000,0.006000,0.000000,3.179574,0.792627,3.972201,1.986100
0.226931,0.026500,0.100000,0.006000,0.000000,3.179574,0.808479,3.988053,1.994027
0.235276,0.027000,0.100000,0.006000,0.000000,3.179574,0.824332,4.003906,2.001953
0.240320,0.027500,0.100000,0.006000,0.000000,3.179574,0.840184,4.019758,2.009879
0.245430,0.028000,0.100000,0.006000,0.000000,3.179574,0.856037,4.035611,2.017806
0.250509,0.028500,0.100000,0.006000,0.000000,3.179574,0.871889,4.051464,2.025732
0.255557,0.029000,0.100000,0.006000,0.000000,3.179574,0.887742,4.067316,2.033658
0.261143,0.029500,0.100000,0.006000,0.000000,3.179574,0.903594,4.083169,2.041584
0.266550,0.030000,0.100000,0.006000,0.000000,3.179574,0.919447,4.099021,2.049511
0.271579,0.030500,0.100000,0.006000,0.000000,3.179574,0.935299,4.114874,2.057437
0.276648,0.031000,0.100000,0.006000,0.000000,3.179574,0.951152,4.130726,2.065363
0.282474,0.031500,0.100000,0.006000,0.000000,3.179574,0.967005,4.146579,2.073289
0.287653,0.032000,0.100000,0.006000,0.000000,3.179574,0.982857,4.162431,2.081216
0.295165,0.032500,0.100000,0.006000,0.014000,3.179574,0.976516,4.156090,2.078045
0.300005,0.033000,0.100000,0.006000,0.003000,3.179574,1.009806,4.189381,2.094690
0.305362,0.033500,0.100000,0.006000,0.000000,3.179574,1.030415,4.209989,2.104994
0.310396,0.034000,0.100000,0.006000,0.001000,3.179574,1.044682,4.224256,2.112128
0.315728,0.034500,0.100000,0.006000,0.001000,3.179574,1.060534,4.240109,2.120054
0.320497,0.035000,0.100000,0.006000,0.000000,3.179574,1.077972,4.257546,2.128773
0.325552,0.035500,0.100000,0.006000,0.000000,3.179574,1.093825,4.273399,2.136700
0.331231,0.036000,0.100000,0.006000,0.000000,3.179574,1.109677,4.289252,2.144626
0.335995,0.036500,0.100000,0.006000,0.000000,3.179574,1.125530,4.305104,2.152552
0.344329,0.037000,0.100000,0.006000,0.010000,3.179574,1.125530,4.305104,2.152552
0.348347,0.037500,0.100000,0.006000,0.000000,3.179574,1.157235,4.336809,2.168405
0.351758,0.038000,0.100000,0.006000,0.000000,3.179574,1.173087,4.352662,2.176331
0.357075,0.038500,0.100000,0.006000,0.000000,3.179574,1.188940,4.368514,2.184257
0.362733,0.039000,0.100000,0.006000,0.000000,3.179574,1.204793,4.384367,2.192183
0.368119,0.039500,0.100000,0.006000,0.000000,3.179574,1.220645,4.400219,2.200110
0.373096,0.040000,0.100000,0.006000,0.000000,3.179574,1.236498,4.416072,2.208036
0.378322,0.040500,0.100000,0.006000,0.000000,3.179574,1.252350,4.431924,2.215962
0.383527,0.041000,0.100000,0.006000,0.000000,3.179574,1.268203,4.447777,2.223888
0.388665,0.041500,0.100000,0.006000,0.000000,3.179574,1.284055,4.463629,2.231815
0.393831,0.042000,0.100000,0.006000,0.002000,3.179574,1.296737,4.476311,2.238156
0.400191,0.042500,0.100000,0.006000,0.000000,3.179574,1.315760,4.495334,2.247667
0.405763,0.043000,0.100000,0.006000,0.000000,3.179574,1.331613,4.511187,2.255594
0.410412,0.043500,0.100000,0.006000,0.000000,3.179574,1.347465,4.527040,2.263520
0.415425,0.044000,0.100000,0.006000,0.000000,3.179574,1.363318,4.542892,2.271446
0.420504,0.044500,0.100000,0.006000,0.000000,3.179574,1.379170,4.558745,2.279372
0.425548,0.045000,0.100000,0.006000,0.000000,3.179574,1.395023,4.574597,2.287299
0.430636,0.045500,0.100000,0.006000,0.000000,3.179574,1.410875,4.590450,2.295225
0.436442,0.046000,0.100000,0.006000,0.000000,3.179574,1.426728,4.606302,2.303151
0.441412,0.046500,0.100000,0.006000,0.000000,3.179574,1.442581,4.622155,2.311077
0.446388,0.047000,0.100000,0.006000,0.000000,3.179574,1.458433,4.638007,2.319004
