t_s,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,tau_ff_target_nm,tau_total_target_est_nm
0.004030,-0.034000,0.100000,-0.034000,3.214674,3.214674
0.012305,-0.033000,0.100000,-0.034000,3.214674,3.232674
0.022331,-0.032000,0.100000,-0.034000,3.214674,3.250674
0.032575,-0.031000,0.100000,-0.033000,3.214481,3.250481
0.044056,-0.030000,0.100000,-0.030000,3.211940,3.211940
0.053912,-0.029000,0.100000,-0.029000,3.211016,3.211016
0.064032,-0.028000,0.100000,-0.029000,3.210957,3.228957
0.074146,-0.027000,0.100000,-0.028000,3.209912,3.227912
0.084275,-0.026000,0.100000,-0.028000,3.209912,3.245912
0.094480,-0.025000,0.100000,-0.028000,3.209971,3.263971
0.104592,-0.024000,0.100000,-0.028000,3.210030,3.282030
0.115086,-0.023000,0.100000,-0.028000,3.210030,3.300030
0.124772,-0.022000,0.100000,-0.028000,3.210030,3.318030
0.134977,-0.021000,0.100000,-0.028000,3.210030,3.336030
0.145093,-0.020000,0.100000,-0.027000,3.209041,3.335041
0.157351,-0.019000,0.100000,-0.027000,3.209041,3.353041
0.165877,-0.018000,0.100000,-0.026000,3.208049,3.352049
0.175760,-0.017000,0.100000,-0.025000,3.207054,3.351054
0.186124,-0.016000,0.100000,-0.024000,3.206055,3.350055
0.196516,-0.015000,0.100000,-0.023000,3.205053,3.349053
0.206265,-0.014000,0.100000,-0.020000,3.202028,3.310028
0.217580,-0.013000,0.100000,-0.018000,3.199995,3.289995
0.227849,-0.012000,0.100000,-0.016000,3.197950,3.269950
0.238052,-0.011000,0.100000,-0.015000,3.196922,3.268922
0.248349,-0.010000,0.100000,-0.013000,3.194857,3.248857
0.258912,-0.009000,0.100000,-0.012000,3.193820,3.247820
0.268910,-0.008000,0.100000,-0.011000,3.192780,3.246780
0.279019,-0.007000,0.100000,-0.011000,3.192780,3.264780
0.289139,-0.006000,0.100000,-0.010000,3.191736,3.263736
0.299241,-0.005000,0.100000,-0.010000,3.191736,3.281736
