t_s,phase,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,tau_ff_target_nm,tau_total_target_est_nm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tau_ff_1_nm,tau_ff_2_nm,tau_ff_3_nm,tau_ff_4_nm,tau_ff_5_nm,tau_ff_6_nm
0.000536,const_vel,0.161000,0.100000,0.161000,4.523968,4.523968,0.001000,0.161000,-1.058000,0.031000,1.300000,0.000000,-0.000000,4.523968,-2.722161,0.009297,-0.861122,0.001007
0.013464,const_vel,0.162000,0.100000,0.165000,4.670219,4.655219,0.001000,0.165000,-1.107000,0.020000,1.333000,0.000000,0.000000,4.670219,-2.567394,0.003627,-0.865020,0.000719
0.020146,const_vel,0.163000,0.100000,0.166000,4.727877,4.712877,0.001000,0.166000,-1.128000,0.030000,1.313000,0.000000,-0.000000,4.727877,-2.507589,0.007959,-0.876964,0.000918
0.030741,const_vel,0.164000,0.100000,0.168000,4.849430,4.829430,0.001000,0.168000,-1.168000,0.040000,1.304000,0.000000,-0.000000,4.849430,-2.381721,0.011584,-0.889201,0.001076
0.040302,const_vel,0.165000,0.100000,0.177000,4.873920,4.813920,0.000000,0.177000,-1.190000,0.043000,1.302000,0.000000,-0.000000,4.873920,-2.337452,0.012512,-0.892695,0.001114
0.050329,const_vel,0.166000,0.100000,0.192000,4.863593,4.733593,0.000000,0.192000,-1.212000,0.040000,1.301000,0.003000,-0.000000,4.863593,-2.313517,0.011187,-0.894493,0.001171
0.062683,const_vel,0.167000,0.100000,0.233000,4.854218,4.524218,0.000000,0.233000,-1.279000,0.036000,1.309000,0.004000,-0.000000,4.854218,-2.221029,0.009120,-0.898322,0.001103
0.070341,const_vel,0.168000,0.100000,0.233000,4.855666,4.530666,0.000000,0.233000,-1.279000,0.036000,1.316000,0.004000,-0.000000,4.855666,-2.219581,0.009141,-0.896877,0.001102
0.080151,const_vel,0.169000,0.100000,0.260000,4.849489,4.394489,0.000000,0.260000,-1.325000,0.038000,1.317000,0.004000,-0.000000,4.849489,-2.152172,0.009504,-0.900506,0.001112
0.092216,const_vel,0.170000,0.100000,0.285000,4.842726,4.267726,0.000000,0.285000,-1.369000,0.040000,1.305000,0.004000,-0.000000,4.842726,-2.086247,0.009762,-0.906070,0.001119
0.100131,const_vel,0.171000,0.100000,0.296000,4.845537,4.220537,0.000000,0.296000,-1.390000,0.040000,1.305000,0.004000,-0.000000,4.845537,-2.050079,0.009530,-0.907683,0.001104
0.112608,const_vel,0.172000,0.100000,0.315000,4.865703,4.150703,0.000000,0.315000,-1.431000,0.040000,1.301000,0.004000,-0.000000,4.865703,-1.970333,0.009005,-0.911450,0.001071
0.120284,const_vel,0.173000,0.100000,0.315000,4.865703,4.155703,0.000000,0.315000,-1.431000,0.040000,1.301000,0.004000,-0.000000,4.865703,-1.970333,0.009005,-0.911450,0.001071
0.130134,const_vel,0.174000,0.100000,0.331000,4.909820,4.124820,0.001000,0.331000,-1.473000,0.040000,1.301000,0.004000,-0.000000,4.909820,-1.874129,0.008395,-0.914603,0.001031
0.141771,const_vel,0.175000,0.100000,0.344000,4.971156,4.126156,0.001000,0.344000,-1.514000,0.040000,1.300000,0.004000,-0.000000,4.971156,-1.769192,0.007728,-0.917389,0.000987
0.150330,const_vel,0.176000,0.100000,0.350000,5.003490,4.133490,0.001000,0.350000,-1.534000,0.040000,1.297000,0.004000,-0.000000,5.003490,-1.716350,0.007386,-0.918663,0.000965
0.160725,const_vel,0.177000,0.100000,0.356000,5.035805,4.140805,0.001000,0.356000,-1.554000,0.040000,1.290000,0.004000,-0.000000,5.035805,-1.663285,0.007034,-0.919870,0.000942
0.171612,const_vel,0.178000,0.100000,0.365000,5.119927,4.184927,0.001000,0.365000,-1.593000,0.040000,1.287000,0.004000,-0.000000,5.119927,-1.547587,0.006306,-0.920948,0.000893
0.180334,const_vel,0.179000,0.100000,0.368000,5.175553,4.230553,0.001000,0.368000,-1.613000,0.040000,1.281000,0.004000,-0.000000,5.175553,-1.481315,0.005882,-0.921106,0.000865
0.192210,const_vel,0.180000,0.100000,0.369000,5.326257,4.381257,0.001000,0.369000,-1.653000,0.040000,1.271000,0.004000,-0.000000,5.326257,-1.327049,0.004917,-0.919819,0.000799
0.200233,const_vel,0.181000,0.100000,0.369000,5.406470,4.466470,0.001000,0.369000,-1.673000,0.040000,1.266000,0.004000,-0.000000,5.406470,-1.246836,0.004422,-0.918311,0.000765
0.210148,const_vel,0.182000,0.100000,0.368000,5.499128,4.569128,0.001000,0.368000,-1.694000,0.040000,1.260000,0.004000,-0.000000,5.499128,-1.157739,0.003876,-0.915941,0.000726
0.220183,const_vel,0.183000,0.100000,0.363000,5.700713,4.800713,0.000000,0.363000,-1.734000,0.040000,1.254000,0.004000,-0.000000,5.700713,-0.973865,0.002768,-0.909783,0.000647
0.230298,const_vel,0.184000,0.100000,0.359000,5.819698,4.944698,0.000000,0.359000,-1.755000,0.040000,1.241000,0.004000,-0.000000,5.819698,-0.868927,0.002144,-0.903654,0.000601
0.240605,const_vel,0.185000,0.100000,0.351000,6.048251,5.218251,0.000000,0.351000,-1.795000,0.040000,1.234000,0.004000,-0.000000,6.048251,-0.668148,0.000967,-0.892478,0.000513
0.250171,const_vel,0.186000,0.100000,0.347000,6.171170,5.366170,0.000000,0.347000,-1.816000,0.040000,1.216000,0.004000,-0.000000,6.171170,-0.558954,0.000354,-0.881856,0.000465
0.261661,const_vel,0.187000,0.100000,0.342000,6.389172,5.614172,0.000000,0.342000,-1.858000,0.040000,1.207000,0.004000,0.000000,6.389172,-0.357958,-0.000782,-0.865586,0.000376
0.272208,const_vel,0.188000,0.100000,0.337000,6.607635,5.862635,0.000000,0.337000,-1.899000,0.040000,1.189000,0.004000,-0.000000,6.607635,-0.156332,-0.001874,-0.843671,0.000286
0.280243,const_vel,0.189000,0.100000,0.337000,6.610619,5.870619,0.000000,0.337000,-1.899000,0.040000,1.181000,0.004000,-0.000000,6.610619,-0.153348,-0.001866,-0.840686,0.000285
0.290163,const_vel,0.190000,0.100000,0.327000,6.872700,6.187700,0.000000,0.327000,-1.942000,0.041000,1.175000,0.004000,-0.000000,6.872700,0.075566,-0.003226,-0.817033,0.000177
0.300165,const_vel,0.191000,0.100000,0.322000,7.011690,6.356690,0.000000,0.322000,-1.964000,0.041000,1.159000,0.004000,0.000000,7.011690,0.198227,-0.003850,-0.797997,0.000120
0.310142,const_vel,0.192000,0.100000,0.314000,7.278811,6.668811,0.000000,0.314000,-2.011000,0.041000,1.147000,0.004000,-0.000000,7.278811,0.439578,-0.005135,-0.765412,0.000009
0.320338,const_vel,0.193000,0.100000,0.311000,7.407553,6.817553,0.000000,0.311000,-2.033000,0.041000,1.124000,0.004000,-0.000000,7.407553,0.558768,-0.005648,-0.739945,-0.000047
0.331770,const_vel,0.194000,0.100000,0.308000,7.636816,7.066816,0.001000,0.308000,-2.080000,0.041000,1.113000,0.004000,0.000000,7.636816,0.778541,-0.006756,-0.705134,-0.000149
0.340361,const_vel,0.195000,0.100000,0.307000,7.762813,7.202813,0.001000,0.307000,-2.104000,0.040000,1.086000,0.004000,-0.000000,7.762813,0.901389,-0.006936,-0.673376,-0.000194
0.350340,const_vel,0.196000,0.100000,0.306000,7.882413,7.332413,0.001000,0.306000,-2.128000,0.040000,1.070000,0.004000,0.000000,7.882413,1.017846,-0.007385,-0.647053,-0.000248
0.360330,const_vel,0.197000,0.100000,0.306000,8.092946,7.547946,0.001000,0.306000,-2.175000,0.040000,1.052000,0.004000,0.000000,8.092946,1.228379,-0.008251,-0.603113,-0.000345
0.372349,const_vel,0.198000,0.100000,0.307000,8.317226,7.772226,0.001000,0.307000,-2.219000,0.040000,0.987000,0.004000,0.000000,8.317226,1.455801,-0.008637,-0.524568,-0.000453
0.380138,const_vel,0.199000,0.100000,0.288000,8.537530,8.092530,0.001000,0.288000,-2.239000,0.039000,0.987000,0.004000,0.000000,8.537530,1.617572,-0.009011,-0.494647,-0.000509
0.390129,const_vel,0.200000,0.100000,0.265000,8.826027,8.501027,0.001000,0.265000,-2.256000,0.037000,0.916000,0.004000,0.000000,8.826027,1.838555,-0.008312,-0.405527,-0.000573
0.400160,const_vel,0.201000,0.100000,0.247000,9.032998,8.802998,0.002000,0.247000,-2.266000,0.035000,0.865000,0.004000,0.000000,9.032998,1.995266,-0.007459,-0.338985,-0.000602
