time_s,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_vel_rad_s,joint2_vel_rad_s,joint3_vel_rad_s,joint4_vel_rad_s,joint5_vel_rad_s,joint6_vel_rad_s,joint1_acc_rad_s2,joint2_acc_rad_s2,joint3_acc_rad_s2,joint4_acc_rad_s2,joint5_acc_rad_s2,joint6_acc_rad_s2
0.1126,0.022166346,0.551670442,-0.509158156,0.021102336,-0.512687734,0.021238851,0.448588205,0.486645056,0.481080162,0.46699103,0.541988657,0.462334673,2.320548554,4.3164633,5.391934284,5.265579808,6.738095435,5.44441999
0.1178,0.024417332,0.554105471,-0.506578724,0.02348377,-0.510026696,0.023558803,0.460030138,0.508813439,0.5103095,0.488312036,0.56600196,0.481251518,2.017297811,4.146370736,5.3000843,5.457055438,6.815852036,5.78800697
0.1229,0.026711093,0.556670644,-0.503904743,0.026015371,-0.506913136,0.026252402,0.466009353,0.526438552,0.53886357,0.50798137,0.604469609,0.51968318,1.734944155,3.944203574,5.272383511,5.6592226,6.458657651,5.772455649
0.128,0.029047629,0.559478006,-0.501084033,0.028910507,-0.503720396,0.029102842,0.467300672,0.552908186,0.564970471,0.54511005,0.63379138,0.549810776,1.473487585,3.509252588,5.227673465,5.511971037,6.242397105,5.730175498
0.133,0.031491354,0.562346243,-0.497960967,0.031836889,-0.500431793,0.031993023,0.475740592,0.571270894,0.604827192,0.579995937,0.657753607,0.577192958,1.109003518,3.108806094,4.892348125,5.520718654,6.151033099,5.866735528
0.1382,0.033911113,0.565261199,-0.494771059,0.034910001,-0.497037719,0.035281727,0.478992057,0.589055505,0.638195684,0.608698669,0.679915502,0.618877105,0.829565734,2.756471497,4.616798171,5.512457016,6.175332037,5.589241659
0.1433,0.036359591,0.568262413,-0.491454545,0.038102437,-0.493248256,0.038546466,0.475055629,0.597724321,0.662960311,0.635419846,0.720255942,0.65533579,0.553529802,2.383239814,4.31257547,5.544531613,5.819595589,5.551821295
0.1484,0.038913844,0.571412782,-0.487847204,0.041612398,-0.489360198,0.041909293,0.475144539,0.614563217,0.694834564,0.679934382,0.754743619,0.684282702,0.144821669,1.866644397,3.697812345,5.271411553,5.524120506,5.575148275
0.1535,0.041342906,0.574579634,-0.484288401,0.045205885,-0.48541713,0.045405097,0.473995904,0.620335673,0.720864218,0.715541535,0.783120915,0.707506387,-0.05054179,1.396216963,3.284730404,5.042029581,5.361803602,5.625690066
0.1587,0.043737486,0.577716352,-0.480643341,0.048903125,-0.481067853,0.049237638,0.468315371,0.62014568,0.740278899,0.743651178,0.821479996,0.750685381,-0.181756054,1.047770195,2.850751376,4.836946546,4.747040477,5.352570005
0.1638,0.046105167,0.580921832,-0.476959147,0.05296663,-0.47679816,0.053080696,0.459390104,0.630263733,0.750793948,0.779522558,0.853422796,0.782153064,-0.256110804,0.633230318,2.472173926,4.217809613,4.42580852,5.255374254
0.1689,0.048462231,0.584099403,-0.473137425,0.056960764,-0.472451512,0.056973708,0.463391459,0.63524657,0.773674994,0.809729734,0.873853805,0.805928578,-0.320259999,0.276521911,1.961410254,3.851381632,4.154632375,5.29619647
0.174,0.050783901,0.587255132,-0.469316412,0.061077561,-0.468014258,0.061335221,0.462154327,0.630093373,0.783746953,0.830652504,0.89054076,0.840324964,-0.350390682,-0.028186768,1.513337842,3.429066094,3.920390615,4.793694437
0.1791,0.053092426,0.590409748,-0.465475882,0.06518829,-0.463359591,0.065593285,0.456098011,0.615759357,0.782361184,0.840839129,0.927086775,0.868612208,-0.367885917,-0.300820849,1.10851754,3.167609524,3.477177991,4.638667215
0.1846,0.055533219,0.593577005,-0.461597634,0.069487612,-0.458736172,0.069915057,0.452339378,0.614179732,0.770537103,0.868449016,0.952459872,0.88677231,-0.605529528,-0.5856044,0.729454111,2.724882878,3.188020631,4.577433891
0.1908,0.057791182,0.596713925,-0.457630397,0.073820103,-0.454066033,0.074298412,0.451315202,0.606944796,0.77268717,0.887573301,0.966081856,0.894792248,-0.574426888,-0.841229225,0.264858421,2.312286915,2.946975169,4.643041023
0.1959,0.059970674,0.599783497,-0.453718475,0.07820447,-0.44897118,0.078991202,0.444421521,0.592183094,0.764527319,0.892803647,0.981685905,0.928862882,-0.436894901,-1.001116235,-0.084560303,1.911840421,2.14268033,4.411229157
0.201,0.062247447,0.602798463,-0.44984771,0.082862676,-0.444077763,0.083736677,0.434211156,0.592982918,0.748404755,0.902604235,0.991912623,0.956432262,-0.454876114,-1.10851754,-0.332409468,1.1551715,1.749037539,4.252800083
0.2063,0.064499949,0.605730509,-0.445970877,0.087303873,-0.439189706,0.088620386,0.437859058,0.585782195,0.750129615,0.908338225,0.989957968,0.969219068,-0.449530348,-1.136218329,-0.586090378,0.793117328,1.453562456,4.054520751
0.2114,0.066704419,0.608655071,-0.442138538,0.091819395,-0.434237132,0.09391445,0.437427242,0.574077178,0.745283751,0.901133906,0.980296978,0.993421928,-0.3980166,-1.187732077,-0.797005158,0.359624279,1.158087373,3.368804728
0.2165,0.068884114,0.611550814,-0.438379614,0.096299727,-0.429189503,0.099023663,0.43354466,0.554709248,0.732170416,0.878694833,0.993245736,1.013516323,-0.322689893,-1.211545036,-0.906350378,0.052971684,0.771248284,3.108806094
0.2217,0.071242188,0.614390434,-0.434610577,0.100847305,-0.424196178,0.104189706,0.429558079,0.55316228,0.708621149,0.875910855,0.99208398,1.02548994,-0.542838269,-1.181414353,-1.025415173,-0.318316084,0.498614202,2.887199782
0.2268,0.073424512,0.617203357,-0.430867327,0.105353322,-0.419216705,0.10944595,0.428160089,0.541929392,0.70570897,0.865094694,0.97891432,1.02415588,-0.501044096,-1.156629436,-1.119695051,-0.618650955,0.301306828,2.671911194
0.2319,0.075455354,0.620025988,-0.427406715,0.109770654,-0.414130549,0.114595814,0.415885675,0.526587941,0.687771592,0.851600619,0.959879285,1.032001084,-0.220634355,-1.172180757,-0.787285583,-0.771734263,0.001457936,2.775910647
0.2371,0.077649307,0.622612094,-0.423718071,0.114204672,-0.409337446,0.119811103,0.411196951,0.519513962,0.680030825,0.830619992,0.945804028,1.040788892,-0.190017693,-0.836369437,-0.829079756,-0.940854869,0.231325887,2.910040784
0.2422,0.079813429,0.625323491,-0.420120942,0.118600263,-0.40425766,0.125440489,0.42108849,0.521668354,0.694883891,0.833278248,0.947160249,1.064182597,-0.130728285,-0.745005431,-0.782911774,-1.073041091,0.030616662,2.491127097
0.2474,0.081924967,0.62806846,-0.416651229,0.12291799,-0.399155122,0.131399535,0.427709659,0.517032967,0.703284398,0.823454819,0.93772626,1.09197266,-0.020897086,-0.747921304,-0.614277146,-1.130386584,-0.191961608,1.60032804
0.2525,0.08417838,0.630788654,-0.412941753,0.127155729,-0.394088482,0.13703782,0.41987245,0.504774882,0.689616027,0.805985535,0.954740765,1.118651606,-0.14044786,-0.727024217,-0.862126311,-1.079844793,-0.380035386,1.234872016
0.2576,0.086307615,0.633296592,-0.409489635,0.131108808,-0.389419456,0.142583881,0.415986564,0.500830581,0.681496172,0.804853739,0.952003927,1.135724331,-0.047625918,-0.378091471,-0.707585067,-0.600669741,0.03110264,1.020069406
0.2627,0.088289918,0.635776216,-0.406288705,0.134999697,-0.384491961,0.148115684,0.420664741,0.50260455,0.689817805,0.809479188,0.965127588,1.142152299,0.279437784,-0.001943915,-0.187587799,-0.061719302,0.00777566,0.849976842
0.2679,0.090480938,0.638411467,-0.402810598,0.139391243,-0.379653049,0.153628072,0.417525974,0.513670675,0.676474359,0.808817357,0.969095556,1.13626802,0.281867678,0.100597602,-0.120036752,-0.345044916,0.100597602,0.760556751
0.273,0.092679037,0.641014865,-0.399334513,0.143498129,-0.37481262,0.159237031,0.42794237,0.519070846,0.686318345,0.817294163,0.968132176,1.130536945,0.277493869,0.233755781,-0.05054179,-0.199737268,0.191961608,0.578314718
0.2781,0.094862473,0.643666903,-0.39585226,0.147662352,-0.369880574,0.165248155,0.433416872,0.521375358,0.691091628,0.816352385,0.95796069,1.127282807,0.287213444,0.289157359,-0.017981214,-0.1715505,0.164260819,-0.207512928
0.2833,0.097056527,0.646351299,-0.392374052,0.151842755,-0.36495763,0.170923855,0.433984422,0.516412275,0.687303643,0.804600034,0.977708728,1.125929065,0.286727465,0.313456297,0.018467193,-0.158915053,0.145307648,-0.453904157
0.2884,0.099409647,0.649045808,-0.388812317,0.156001921,-0.360005663,0.176544342,0.436325115,0.528564806,0.676983082,0.819205931,0.989322138,1.114315339,0.040336237,0.328035659,-0.056373536,-0.125868497,0.036448407,-0.616221061
0.2935,0.101609768,0.651769239,-0.385254626,0.160143493,-0.355029326,0.182240267,0.440386536,0.535460966,0.686908736,0.826095676,0.988110544,1.09226692,0.034018513,0.283811593,-0.127326434,-0.106915326,-0.126840455,-0.88205144
0.2987,0.103805339,0.65444959,-0.381731823,0.16435049,-0.349729194,0.187894732,0.439383768,0.537223052,0.686479301,0.826814463,0.986601216,1.099330743,0.032074598,0.311998361,-0.164746798,-0.212858695,-0.818388223,-1.108031561
0.3038,0.10602164,0.657332592,-0.378155324,0.168815452,-0.344782587,0.193488624,0.433177042,0.540618513,0.678247599,0.827916055,0.987766277,1.09579085,0.010205554,0.021383065,-0.28478355,-0.752781091,-0.984106978,-1.306796872
0.3089,0.10823693,0.660049954,-0.37461169,0.172964405,-0.339904743,0.199097887,0.440158588,0.548042931,0.689499076,0.832617171,0.978961848,1.083996097,-0.010691533,-0.017009256,-0.373231684,-0.833939543,-1.083732623,-1.582346826
0.314,0.110429467,0.662750632,-0.371089696,0.177088684,-0.33495945,0.204949034,0.441971119,0.546737884,0.692482257,0.826812057,0.959442366,1.073786849,-0.009719575,-0.039364279,-0.471885371,-0.922387677,-1.310198723,-2.307427128
0.3191,0.112624532,0.66551714,-0.367612195,0.181234301,-0.330098089,0.210348569,0.438789343,0.538994129,0.690483742,0.809772622,0.965718441,1.069690146,-0.011177511,-0.15599918,-0.527772928,-1.062349558,-1.455992349,-2.412398539
0.3246,0.114970573,0.668272525,-0.364145313,0.185313176,-0.325276469,0.215678532,0.437433122,0.54561695,0.677792091,0.815544008,0.960976358,1.05297199,-0.250765037,-0.261942549,-0.573454931,-1.138162244,-1.625598935,-2.512510162
0.3296,0.117196582,0.670939832,-0.360717868,0.189335019,-0.320493174,0.221035595,0.440350452,0.546185423,0.685777329,0.810785596,0.941661351,1.025200734,-0.312970318,-0.252222974,-0.581230591,-1.19016197,-1.789373775,-2.731686581
0.3348,0.119354232,0.673642633,-0.357317626,0.193291132,-0.315499444,0.226214177,0.434835323,0.541153794,0.686792806,0.799273172,0.925293757,1.026767603,-0.278465826,-0.307624552,-0.593866038,-1.178984459,-2.341445641,-2.779312499
0.3409,0.121566589,0.676530893,-0.353909698,0.197532612,-0.310885428,0.231302053,0.427193185,0.536002346,0.680250196,0.785741458,0.916051194,1.01864369,-0.327549681,-0.665304915,-0.644893808,-1.659131469,-2.373520238,-2.832770162
0.3459,0.123756194,0.67919729,-0.350293963,0.201490545,-0.306319244,0.236345232,0.432238349,0.531045557,0.674392256,0.778320635,0.897106066,0.999727915,-0.354764491,-0.685716023,-1.050686068,-1.742719815,-2.421632135,-2.936283636
0.351,0.125902316,0.681832845,-0.346940034,0.205389928,-0.301754374,0.241654768,0.431980416,0.523792737,0.672400764,0.765632483,0.867369074,0.975938988,-0.340185128,-0.676482427,-1.080816751,-1.801037265,-2.530491376,-3.57485972
0.3561,0.128087977,0.68450541,-0.343646779,0.209267166,-0.297334109,0.246510264,0.422981232,0.510718378,0.660012728,0.741429648,0.864468972,0.959759419,-0.394614749,-0.73382792,-1.052629983,-1.869074291,-2.500360693,-3.62199966
0.3613,0.130365861,0.687139043,-0.340279502,0.213040247,-0.292965113,0.251277581,0.418435994,0.513116951,0.642543444,0.740456111,0.854931055,0.938067514,-0.599697783,-0.753753049,-1.157601394,-1.836999693,-2.513968099,-3.677401238
0.3664,0.132465972,0.689714531,-0.336975427,0.216724947,-0.288652543,0.255997169,0.416368422,0.507076964,0.643892618,0.729965263,0.83469959,0.903579035,-0.540894354,-0.717790621,-1.201825461,-1.750981454,-2.535351164,-3.779942755
