time_s,joint1_target_angle_rad,joint2_target_angle_rad,joint3_target_angle_rad,joint4_target_angle_rad,joint5_target_angle_rad,joint6_target_angle_rad,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_velocity_rad_s,joint2_velocity_rad_s,joint3_velocity_rad_s,joint4_velocity_rad_s,joint5_velocity_rad_s,joint6_velocity_rad_s,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm,mode,excited_joint,freq_hz,amp_deg
0,0,0.523599,-0.523599,0,-0.523599,0,0,0.53,-0.531,0,-0.531,0,-0.005,-0.002,0,-0.028,-0.021,0.003,0.062606,0.291769,-1.151719,-0.131306,-0.893266,-0.031629,single_joint_sine,3,0.5,30
0,0,0.523599,-0.523594,0,-0.523599,0,0,0.53,-0.531,0,-0.531,0,-0.005,-0.001,0.004,-0.028,-0.005,0.003,0.062606,0.289406,-1.1529,-0.131306,-0.90956,-0.031629,single_joint_sine,3,0.5,30
0.005,0,0.523599,-0.515311,0,-0.523599,0,0,0.53,-0.531,0,-0.531,0,0.002,0.004,0.002,0.013,-0.005,-0.026,0.055519,0.304762,-1.155262,-0.143766,-0.90956,0.001917,single_joint_sine,3,0.5,30
0.0102,0,0.523599,-0.506898,0,-0.523599,0,0,0.53,-0.531,0,-0.531,0,-0.002,0.004,0.002,0.017,-0.001,-0.042,0.050794,0.304762,-1.155262,-0.13514,-0.893266,-0.026836,single_joint_sine,3,0.5,30
0.0153,0,0.523599,-0.498361,0,-0.523599,0,0,0.53,-0.531,0,-0.531,0,0.007,-0.005,0.001,0.017,-0.013,-0.042,0.036619,0.279956,-1.024144,-0.13514,-0.889432,-0.026836,single_joint_sine,3,0.5,30
0.0204,0,0.523599,-0.489998,0,-0.523599,0,0,0.53,-0.53,0,-0.531,0,0.005,0.01,0.034,0.021,-0.001,0.015,0.02835,0.287044,-0.902475,-0.138974,-0.903809,-0.039296,single_joint_sine,3,0.5,30
0.0257,0,0.523599,-0.48133,0,-0.523599,0,0,0.53,-0.53,0,-0.531,0,0.005,0.01,0.034,0.013,0.001,0.017,0.046069,0.287044,-0.902475,-0.138974,-0.899975,-0.023003,single_joint_sine,3,0.5,30
0.0308,0,0.523599,-0.473031,0,-0.523599,0,0,0.53,-0.53,0,-0.532,0,0.005,0.004,0.043,0.013,-0.024,-0.003,0.046069,0.303581,-0.715838,-0.138974,-0.871222,-0.034504,single_joint_sine,3,0.5,30
0.0359,0,0.523599,-0.464664,0,-0.523599,0,0,0.53,-0.529,0,-0.532,0,0,0.005,0.125,-0.013,-0.024,-0.034,0.04725,0.294131,-0.712294,-0.134182,-0.871222,-0.011501,single_joint_sine,3,0.5,30
0.041,0,0.523599,-0.456298,0,-0.523599,0,0,0.53,-0.529,0,-0.532,0,0.003,0.005,0.125,0,-0.057,-0.032,0.034256,0.294131,-0.712294,-0.13514,-0.798381,-0.042171,single_joint_sine,3,0.5,30
0.0461,0,0.523599,-0.447954,0,-0.523599,0,0,0.53,-0.528,0,-0.533,0,0.003,-0.005,0.161,0,-0.132,-0.032,0.034256,0.3024,-0.700481,-0.13514,-0.662282,-0.042171,single_joint_sine,3,0.5,30
0.0513,0,0.523599,-0.439636,0,-0.523599,0,0,0.53,-0.527,0,-0.533,0,0.014,-0.012,0.226,0,-0.038,-0.069,0.040162,0.343744,-0.772537,-0.133223,-0.650781,-0.032587,single_joint_sine,3,0.5,30
0.0564,0,0.523599,-0.431338,0,-0.523599,0,0,0.53,-0.526,0,-0.533,0,0,-0.007,0.202,-0.038,-0.038,0.076,0.050794,0.370912,-0.590625,-0.105428,-0.650781,-0.046964,single_joint_sine,3,0.5,30
0.0615,0,0.523599,-0.42307,0,-0.523599,0,0,0.53,-0.526,0,-0.533,0,-0.007,-0.007,0.202,0.015,-0.03,-0.101,0.072056,0.370912,-0.590625,-0.132265,-0.647905,0.023003,single_joint_sine,3,0.5,30
0.0666,0,0.523599,-0.414808,0,-0.523599,0,0,0.53,-0.524,0,-0.534,0,-0.007,-0.016,0.24,0.015,-0.024,-0.101,0.072056,0.4725,-0.532744,-0.132265,-0.625861,0.023003,single_joint_sine,3,0.5,30
0.0717,0,0.523599,-0.406576,0,-0.523599,0,0,0.53,-0.522,0,-0.534,0,-0.005,-0.018,0.329,-0.044,-0.024,0.021,0.049612,0.518569,-0.698119,-0.084343,-0.625861,-0.034504,single_joint_sine,3,0.5,30
0.0769,0,0.523599,-0.3984,0,-0.523599,0,0,0.53,-0.522,0,-0.533,0,-0.001,-0.018,0.329,0.03,0.003,-0.011,0.053156,0.518569,-0.698119,-0.12268,-0.646947,-0.001917,single_joint_sine,3,0.5,30
0.082,0,0.523599,-0.390231,0,-0.523599,0,0,0.53,-0.519,0,-0.533,0,-0.001,-0.021,0.387,0.03,0.011,-0.011,0.053156,0.549281,-0.809156,-0.12268,-0.651739,-0.001917,single_joint_sine,3,0.5,30
0.0871,0,0.523599,-0.382109,0,-0.523599,0,0,0.53,-0.517,0,-0.533,0,-0.005,-0.002,0.377,0.001,-0.003,-0.015,0.034256,0.543375,-0.738281,-0.102553,-0.639279,-0.020127,single_joint_sine,3,0.5,30
0.0922,0,0.523599,-0.374013,0,-0.523599,0,0,0.53,-0.514,0,-0.533,0,0.003,-0.001,0.383,-0.007,-0.003,0.07,0.034256,0.564637,-0.641419,-0.109262,-0.639279,-0.041213,single_joint_sine,3,0.5,30
0.0973,0,0.523599,-0.36602,0,-0.523599,0,0,0.53,-0.514,0,-0.533,0,0.014,-0.001,0.383,0.009,0.036,-0.046,0.048431,0.564637,-0.641419,-0.118847,-0.677617,0.011501,single_joint_sine,3,0.5,30
0.1025,0,0.523599,-0.357962,0,-0.523599,0,0,0.53,-0.511,0,-0.533,0,0.014,-0.004,0.445,0.009,0.08,-0.046,0.048431,0.541012,-0.687487,-0.118847,-0.728414,0.011501,single_joint_sine,3,0.5,30
0.1076,0,0.523599,-0.349944,0,-0.523599,0,0,0.53,-0.507,0,-0.533,0,0.002,0.006,0.53,0.011,0.08,-0.069,0.050794,0.504394,-0.921375,-0.118847,-0.728414,-0.014377,single_joint_sine,3,0.5,30
0.1127,0,0.523599,-0.342089,0,-0.523599,0,0,0.53,-0.507,0,-0.533,0,-0.008,0.006,0.53,0.003,-0.023,0.017,0.068512,0.504394,-0.921375,-0.124597,-0.707329,-0.031629,single_joint_sine,3,0.5,30
0.1178,0,0.523599,-0.334152,0,-0.523599,0,0,0.53,-0.504,0,-0.533,0,-0.008,0.006,0.475,0.003,-0.013,0.017,0.068512,0.486675,-0.600075,-0.124597,-0.660365,-0.031629,single_joint_sine,3,0.5,30
0.123,0,0.523599,-0.326278,0,-0.523599,0,0,0.53,-0.5,0,-0.533,0,-0.008,0.008,0.574,-0.003,0.019,-0.013,0.067331,0.441787,-0.7938,-0.136098,-0.727456,-0.031629,single_joint_sine,3,0.5,30
0.1281,0,0.523599,-0.318496,0,-0.523599,0,0,0.53,-0.496,0,-0.533,0,0.003,0.011,0.605,0.003,0.019,0.015,0.02835,0.42525,-0.876487,-0.127473,-0.727456,-0.041213,single_joint_sine,3,0.5,30
0.1332,0,0.523599,-0.310762,0,-0.523599,0,0,0.53,-0.496,0,-0.532,0,0.011,0.011,0.605,0.019,0.015,0.021,0.035438,0.42525,-0.876487,-0.144724,-0.7495,-0.033545,single_joint_sine,3,0.5,30
0.1384,0,0.523599,-0.303089,0,-0.523599,0,0,0.53,-0.492,0,-0.532,0,0.011,0.018,0.597,0.019,0.015,0.021,0.035438,0.369731,-0.666225,-0.144724,-0.768669,-0.033545,single_joint_sine,3,0.5,30
0.1435,0,0.523599,-0.295444,0,-0.523599,0,0,0.53,-0.487,0,-0.532,0,0.009,0.009,0.677,-0.001,0.015,0.026,0.040162,0.372094,-0.910744,-0.131306,-0.768669,-0.017252,single_joint_sine,3,0.5,30
0.1486,0,0.523599,-0.287888,0,-0.523599,0,0,0.53,-0.487,0,-0.532,0,-0.001,0.009,0.677,0.005,0.038,-0.001,0.046069,0.372094,-0.910744,-0.137057,-0.813716,-0.013418,single_joint_sine,3,0.5,30
0.1538,0,0.523599,-0.280372,0,-0.523599,0,0,0.53,-0.482,0,-0.532,0,-0.001,-0.005,0.67,0.005,-0.017,-0.001,0.046069,0.366187,-0.706387,-0.137057,-0.766752,-0.013418,single_joint_sine,3,0.5,30
0.1589,0,0.523599,-0.272937,0,-0.523599,0,0,0.53,-0.477,0,-0.532,0,0,0.008,0.749,0,0.015,-0.024,0.0567,0.324844,-0.875306,-0.130348,-0.784004,0.011501,single_joint_sine,3,0.5,30
0.164,0,0.523599,-0.265629,0,-0.523599,0,0,0.53,-0.472,0,-0.532,0,-0.003,0.013,0.726,0,0.015,0.013,0.049612,0.326025,-0.759544,-0.127473,-0.784004,-0.033545,single_joint_sine,3,0.5,30
0.1691,0,0.523599,-0.258323,0,-0.523599,0,0,0.53,-0.472,0,-0.532,0,-0.011,0.013,0.726,0,0.024,-0.021,0.054337,0.326025,-0.759544,-0.124597,-0.81084,-0.020127,single_joint_sine,3,0.5,30
0.1742,0,0.523599,-0.251078,0,-0.523599,0,0,0.53,-0.466,0,-0.532,0,-0.011,-0.001,0.812,0,-0.055,-0.021,0.054337,0.343744,-0.9261,-0.124597,-0.768669,-0.020127,single_joint_sine,3,0.5,30
0.1793,0,0.523599,-0.243998,0,-0.523599,0,0,0.53,-0.461,0,-0.532,0,-0.002,-0.009,0.798,-0.001,-0.055,-0.013,0.049612,0.373275,-0.759544,-0.12268,-0.768669,-0.013418,single_joint_sine,3,0.5,30
0.1847,0,0.523599,-0.236558,0,-0.523599,0,0,0.53,-0.461,0,-0.532,0,0.008,-0.009,0.798,-0.007,0.013,-0.097,0.038981,0.373275,-0.759544,-0.118847,-0.742791,-0.000958,single_joint_sine,3,0.5,30
0.1899,0,0.523599,-0.229368,0,-0.523599,0,0,0.53,-0.449,0,-0.532,0,0.009,-0.01,0.905,-0.024,0.005,0.101,0.044887,0.422887,-0.833962,-0.094886,-0.76771,-0.093927,single_joint_sine,3,0.5,30
0.196,0,0.523599,-0.221192,0,-0.523599,0,0,0.53,-0.443,0,-0.532,0,0.012,-0.007,0.882,0.015,0.005,0.026,0.050794,0.445331,-0.627244,-0.118847,-0.76771,-0.023003,single_joint_sine,3,0.5,30
0.2011,0,0.523599,-0.214399,0,-0.523599,0,0,0.53,-0.443,0,-0.532,0,0.005,-0.007,0.882,-0.001,-0.011,-0.001,0.035438,0.445331,-0.627244,-0.100636,-0.729373,-0.007668,single_joint_sine,3,0.5,30
0.2062,0,0.523599,-0.20766,0,-0.523599,0,0,0.53,-0.436,0,-0.532,0,0.005,-0.011,0.998,-0.001,0,-0.001,0.035438,0.458325,-0.867037,-0.100636,-0.775378,-0.007668,single_joint_sine,3,0.5,30
