t_s,phase,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,tau_ff_target_nm,tau_total_target_est_nm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tau_ff_1_nm,tau_ff_2_nm,tau_ff_3_nm,tau_ff_4_nm,tau_ff_5_nm,tau_ff_6_nm
0.000484,const_vel,0.010000,0.100000,0.010000,2.645126,2.645126,-0.025000,0.010000,0.037000,0.134000,0.012000,0.056000,-0.000000,2.645126,-4.836619,-0.001304,-0.912753,0.008254
0.011754,const_vel,0.011000,0.100000,0.010000,2.645126,2.650126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.020222,const_vel,0.012000,0.100000,0.010000,2.645126,2.655126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.030094,const_vel,0.013000,0.100000,0.010000,2.645126,2.660126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.040077,const_vel,0.014000,0.100000,0.010000,2.645126,2.665126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.050239,const_vel,0.015000,0.100000,0.010000,2.645126,2.670126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.060154,const_vel,0.016000,0.100000,0.010000,2.645126,2.675126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.070638,const_vel,0.017000,0.100000,0.010000,2.645126,2.680126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.080089,const_vel,0.018000,0.100000,0.010000,2.645126,2.685126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.090201,const_vel,0.019000,0.100000,0.010000,2.645126,2.690126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.100873,const_vel,0.020000,0.100000,0.010000,2.645126,2.695126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.110902,const_vel,0.021000,0.100000,-0.034000,2.709437,2.984437,-0.025000,-0.034000,0.037000,0.131000,0.012000,0.055000,0.000000,2.709437,-4.809068,-0.001507,-0.913008,0.008068
0.120874,const_vel,0.022000,0.100000,-0.034000,2.712405,2.992405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.130127,const_vel,0.023000,0.100000,-0.034000,2.712405,2.997405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.140251,const_vel,0.024000,0.100000,-0.034000,2.712405,3.002405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.150432,const_vel,0.025000,0.100000,-0.034000,2.712405,3.007405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.160181,const_vel,0.026000,0.100000,-0.034000,2.712405,3.012405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.170789,const_vel,0.027000,0.100000,-0.034000,2.712405,3.017405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
0.180237,const_vel,0.028000,0.100000,-0.034000,2.712405,3.022405,0.001000,-0.034000,0.033000,0.131000,0.012000,0.055000,0.000000,2.712405,-4.806101,-0.001507,-0.912911,0.008065
