t_s,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,qd_target_rad_s,tau_ff_target_nm,tau_pd_target_nm,tau_total_target_model_nm,tau_total_target_actual_nm
0.002448,0.146000,0.100000,0.146000,0.000000,2.990807,0.155819,3.146626,1.573313
0.011176,0.146500,0.100000,0.146000,0.000000,2.990807,0.183087,3.173894,1.586947
0.018595,0.147000,0.100000,0.146000,0.000000,2.990807,0.210356,3.201162,1.600581
0.024823,0.147500,0.100000,0.146000,-0.013000,2.990807,0.257880,3.248687,1.624344
0.029996,0.148000,0.100000,0.146000,-0.013000,2.990708,0.285154,3.275862,1.637931
0.035554,0.148500,0.100000,0.146000,-0.002000,2.990708,0.295283,3.285990,1.642995
0.040484,0.149000,0.100000,0.146000,-0.001000,2.990708,0.320994,3.311701,1.655851
0.048300,0.149500,0.100000,0.146000,-0.001000,2.990708,0.348262,3.338970,1.669485
0.050771,0.150000,0.100000,0.146000,0.000000,2.990708,0.373973,3.364681,1.682340
0.055869,0.150500,0.100000,0.146000,0.000000,2.990708,0.401242,3.391949,1.695975
0.060922,0.151000,0.100000,0.146000,0.000000,2.990708,0.428511,3.419218,1.709609
0.065991,0.151500,0.100000,0.146000,0.000000,2.990708,0.455780,3.446487,1.723244
0.071090,0.152000,0.100000,0.146000,0.000000,2.990708,0.483049,3.473756,1.736878
0.079162,0.152500,0.100000,0.146000,0.000000,2.990709,0.510317,3.501026,1.750513
0.084287,0.153000,0.100000,0.146000,0.024000,2.990709,0.500188,3.490897,1.745449
0.089562,0.153500,0.100000,0.146000,0.000000,2.990709,0.564855,3.555563,1.777782
0.094898,0.154000,0.100000,0.146000,0.000000,2.990709,0.592123,3.582832,1.791416
0.099841,0.154500,0.100000,0.146000,0.000000,2.990709,0.619392,3.610101,1.805050
0.105401,0.155000,0.100000,0.146000,0.000000,2.990709,0.646661,3.637370,1.818685
0.110158,0.155500,0.100000,0.146000,0.000000,2.990709,0.673930,3.664639,1.832319
0.115234,0.156000,0.100000,0.146000,0.000000,2.990709,0.701199,3.691908,1.845954
0.120887,0.156500,0.100000,0.146000,0.000000,2.990709,0.728468,3.719176,1.859588
0.125690,0.157000,0.100000,0.146000,0.000000,2.990709,0.755736,3.746445,1.873223
0.131010,0.157500,0.100000,0.146000,0.000000,2.990610,0.783021,3.773631,1.886815
0.136191,0.158000,0.100000,0.146000,0.000000,2.990610,0.810290,3.800900,1.900450
0.142765,0.158500,0.100000,0.146000,0.000000,2.990610,0.837560,3.828169,1.914085
0.149304,0.159000,0.100000,0.146000,0.000000,2.990610,0.864829,3.855439,1.927719
0.160596,0.159500,0.100000,0.146000,0.000000,2.990511,0.892116,3.882627,1.941314
0.166471,0.160000,0.100000,0.146000,0.011000,2.990511,0.902245,3.892756,1.946378
0.174615,0.160500,0.100000,0.146000,0.000000,2.990413,0.946675,3.937088,1.968544
0.180234,0.161000,0.100000,0.146000,0.000000,2.990414,0.973944,3.964358,1.982179
0.185141,0.161500,0.100000,0.146000,0.000000,2.990316,1.001235,3.991550,1.995775
0.190644,0.162000,0.100000,0.146000,0.000000,2.990316,1.028506,4.018821,2.009411
0.195426,0.162500,0.100000,0.146000,0.000000,2.990316,1.055777,4.046092,2.023046
0.200803,0.163000,0.100000,0.146000,0.000000,2.990316,1.083048,4.073363,2.036682
0.206976,0.163500,0.100000,0.146000,0.000000,2.990316,1.110319,4.100634,2.050317
0.211448,0.164000,0.100000,0.146000,0.000000,2.990316,1.137590,4.127905,2.063953
0.216828,0.164500,0.100000,0.146000,0.000000,2.990317,1.164859,4.155176,2.077588
0.222501,0.165000,0.100000,0.146000,0.000000,2.990317,1.192130,4.182447,2.091224
0.227911,0.165500,0.100000,0.146000,0.000000,2.990317,1.219401,4.209718,2.104859
0.233843,0.166000,0.100000,0.146000,0.024000,2.990317,1.209272,4.199589,2.099794
0.240084,0.166500,0.100000,0.146000,0.000000,2.990317,1.273943,4.264260,2.132130
0.245168,0.167000,0.100000,0.146000,0.000000,2.990317,1.301214,4.291531,2.145766
0.250184,0.167500,0.100000,0.146000,0.001000,2.990317,1.326927,4.317244,2.158622
0.255481,0.168000,0.100000,0.146000,0.001000,2.990317,1.354198,4.344515,2.172257
0.260368,0.168500,0.100000,0.146000,0.000000,2.990317,1.383027,4.373344,2.186672
0.269126,0.169000,0.100000,0.146000,0.000000,2.990317,1.410298,4.400615,2.200307
0.272762,0.169500,0.100000,0.146000,0.024000,2.990317,1.400169,4.390486,2.195243
0.276778,0.170000,0.100000,0.146000,0.024000,2.990317,1.427440,4.417757,2.208878
0.284279,0.170500,0.100000,0.146000,0.000000,2.990317,1.492111,4.482428,2.241214
0.289369,0.171000,0.100000,0.146000,0.000000,2.990317,1.519382,4.509699,2.254849
0.294650,0.171500,0.100000,0.146000,0.029000,2.990317,1.501461,4.491778,2.245889
0.300433,0.172000,0.100000,0.146000,0.000000,2.990317,1.573924,4.564241,2.282120
0.305158,0.172500,0.100000,0.146000,0.000000,2.990317,1.601195,4.591512,2.295756
0.310316,0.173000,0.100000,0.146000,0.000000,2.990317,1.628466,4.618783,2.309391
0.319215,0.173500,0.100000,0.146000,0.009000,2.990317,1.641712,4.632028,2.316014
0.323858,0.174000,0.100000,0.146000,0.004000,2.990317,1.676774,4.667091,2.333546
0.326072,0.174500,0.100000,0.146000,0.004000,2.990317,1.704045,4.694362,2.347181
0.333561,0.175000,0.100000,0.147000,0.049000,2.988786,1.606649,4.595435,2.297717
0.338880,0.175500,0.100000,0.148000,0.129000,2.987251,1.454711,4.441962,2.220981
0.344106,0.176000,0.100000,0.148000,0.129000,2.987251,1.481982,4.469233,2.234617
0.349330,0.176500,0.100000,0.149000,0.125000,2.985714,1.460944,4.446658,2.223329
0.354392,0.177000,0.100000,0.149000,0.111000,2.985813,1.510002,4.495815,2.247907
0.359461,0.177500,0.100000,0.149000,0.111000,2.985813,1.537272,4.523085,2.261543
0.365240,0.178000,0.100000,0.151000,0.175000,2.982730,1.355729,4.338459,2.169230
0.370368,0.178500,0.100000,0.152000,0.182000,2.981184,1.317551,4.298735,2.149367
0.376333,0.179000,0.100000,0.153000,0.201000,2.979636,1.260671,4.240307,2.120154
0.384542,0.179500,0.100000,0.155000,0.239000,2.976530,1.119644,4.096174,2.048087
0.389615,0.180000,0.100000,0.156000,0.219000,2.974972,1.123540,4.098512,2.049256
0.394913,0.180500,0.100000,0.156000,0.219000,2.974972,1.150810,4.125782,2.062891
0.399976,0.181000,0.100000,0.158000,0.226000,2.971847,1.058091,4.029938,2.014969
0.405594,0.181500,0.100000,0.160000,0.265000,2.968710,0.915506,3.884216,1.942108
0.410524,0.182000,0.100000,0.161000,0.254000,2.967138,0.905377,3.872514,1.936257
0.417923,0.182500,0.100000,0.161000,0.254000,2.967138,0.932647,3.899785,1.949892
0.423822,0.183000,0.100000,0.163000,0.256000,2.963983,0.847719,3.811703,1.905851
0.426081,0.183500,0.100000,0.164000,0.181000,2.962402,0.937322,3.899724,1.949862
0.433418,0.184000,0.100000,0.164000,0.181000,2.962402,0.964592,3.926994,1.963497
0.438717,0.184500,0.100000,0.166000,0.248000,2.959230,0.778375,3.737604,1.868802
0.443970,0.185000,0.100000,0.169000,0.224000,2.954449,0.679422,3.633871,1.816936
0.449404,0.185500,0.100000,0.169000,0.224000,2.954449,0.706693,3.661142,1.830571
0.454935,0.186000,0.100000,0.170000,0.169000,2.952850,0.765129,3.717979,1.858989
0.459996,0.186500,0.100000,0.172000,0.167000,2.949642,0.686435,3.636077,1.818038
0.465624,0.187000,0.100000,0.172000,0.167000,2.949642,0.713705,3.663347,1.831674
0.470341,0.187500,0.100000,0.173000,0.184000,2.948034,0.659943,3.607977,1.803989
0.475379,0.188000,0.100000,0.174000,0.187000,2.946423,0.627998,3.574421,1.787210
0.480688,0.188500,0.100000,0.175000,0.125000,2.944810,0.697342,3.642152,1.821076
0.485516,0.189000,0.100000,0.175000,0.125000,2.944810,0.724612,3.669423,1.834711
0.490629,0.189500,0.100000,0.176000,0.100000,2.943193,0.736300,3.679493,1.839746
0.496001,0.190000,0.100000,0.177000,0.133000,2.941575,0.657604,3.599179,1.799590
0.503901,0.190500,0.100000,0.177000,0.133000,2.941576,0.684874,3.626450,1.813225
0.506099,0.191000,0.100000,0.178000,0.164000,2.939954,0.609296,3.549250,1.774625
0.511057,0.191500,0.100000,0.178000,0.080000,2.939957,0.767462,3.707419,1.853710
0.516110,0.192000,0.100000,0.179000,0.129000,2.938332,0.663835,3.602167,1.801084
0.521157,0.192500,0.100000,0.179000,0.129000,2.938332,0.691105,3.629438,1.814719
0.526850,0.193000,0.100000,0.180000,0.092000,2.936707,0.721490,3.658197,1.829099
0.532719,0.193500,0.100000,0.181000,0.092000,2.935080,0.694218,3.629298,1.814649
0.538357,0.194000,0.100000,0.181000,0.092000,2.935085,0.721486,3.656571,1.828285
0.544594,0.194500,0.100000,0.181000,0.013000,2.935089,0.871858,3.806947,1.903474
0.549708,0.195000,0.100000,0.181000,0.024000,2.935095,0.881983,3.817078,1.908539
0.555132,0.195500,0.100000,0.181000,0.024000,2.935095,0.909253,3.844348,1.922174
0.560236,0.196000,0.100000,0.181000,0.000000,2.935100,0.973918,3.909018,1.954509
0.565034,0.196500,0.100000,0.181000,-0.031000,2.935103,1.049492,3.984595,1.992298
0.570227,0.197000,0.100000,0.181000,-0.031000,2.935104,1.076761,4.011865,2.005933
0.575712,0.197500,0.100000,0.181000,-0.016000,2.935210,1.080635,4.015845,2.007923
0.580563,0.198000,0.100000,0.181000,-0.025000,2.935212,1.121927,4.057139,2.028569
0.585678,0.198500,0.100000,0.181000,-0.001000,2.935213,1.111798,4.047011,2.023505
0.591012,0.199000,0.100000,0.181000,-0.001000,2.935213,1.139067,4.074280,2.037140
0.596513,0.199500,0.100000,0.181000,0.000000,2.935214,1.164776,4.099991,2.049995
0.603715,0.200000,0.100000,0.181000,0.000000,2.935216,1.192044,4.127260,2.063630
0.608014,0.200500,0.100000,0.181000,0.000000,2.935216,1.219313,4.154529,2.077265
0.612918,0.201000,0.100000,0.181000,0.027000,2.935216,1.204510,4.139726,2.069863
0.618472,0.201500,0.100000,0.181000,0.029000,2.935216,1.228663,4.163878,2.081939
0.624972,0.202000,0.100000,0.181000,0.016000,2.935217,1.276187,4.211405,2.105702
0.630173,0.202500,0.100000,0.181000,0.011000,2.935218,1.311246,4.246465,2.123232
0.635432,0.203000,0.100000,0.181000,0.000000,2.935220,1.355654,4.290874,2.145437
0.640341,0.203500,0.100000,0.181000,0.000000,2.935220,1.382923,4.318143,2.159072
0.648823,0.204000,0.100000,0.181000,0.000000,2.935220,1.410192,4.345412,2.172706
0.650903,0.204500,0.100000,0.181000,0.000000,2.935221,1.437460,4.372681,2.186341
0.656019,0.205000,0.100000,0.181000,0.000000,2.935329,1.464698,4.400027,2.200013
0.663020,0.205500,0.100000,0.181000,0.000000,2.935329,1.491967,4.427295,2.213648
0.666405,0.206000,0.100000,0.181000,-0.002000,2.935439,1.522317,4.457756,2.228878
