time_s,target_angle_rad,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_velocity_rad_s,joint2_velocity_rad_s,joint3_velocity_rad_s,joint4_velocity_rad_s,joint5_velocity_rad_s,joint6_velocity_rad_s,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm
0.0000,-120.0000,0.000000,0.711000,-2.101000,0.349000,-0.864000,0.000000,0.002000,0.000000,0.000000,-0.028000,0.001000,-0.026000,0.067331,1.552162,0.211444,-0.079551,0.782087,0.031629
0.0021,-120.0000,0.000000,0.711000,-2.101000,0.349000,-0.864000,0.000000,0.002000,0.000000,0.000000,-0.028000,0.001000,-0.026000,0.067331,1.552162,0.211444,-0.079551,0.782087,0.031629
0.0043,-119.9970,0.000000,0.711000,-2.101000,0.349000,-0.864000,0.000000,-0.002000,0.000000,-0.002000,0.023000,0.001000,-0.011000,0.081506,1.548619,0.209081,-0.079551,0.783045,0.017252
0.0063,-119.9930,0.000000,0.711000,-2.101000,0.349000,-0.864000,0.000000,-0.002000,0.000000,-0.002000,0.023000,0.001000,-0.011000,0.081506,1.548619,0.209081,-0.079551,0.783045,0.017252
0.0085,-119.9870,0.000000,0.711000,-2.101000,0.349000,-0.864000,0.000000,-0.018000,0.000000,-0.002000,-0.011000,0.001000,-0.011000,0.098044,1.548619,0.209081,-0.078592,0.783045,0.017252
0.0105,-119.9790,0.000000,0.711000,-2.101000,0.349000,-0.864000,0.000000,-0.018000,0.000000,-0.002000,-0.011000,0.001000,-0.001000,0.098044,1.548619,0.209081,-0.078592,0.783045,0.008626
0.0126,-119.9700,0.000000,0.711000,-2.101000,0.349000,-0.864000,0.000000,-0.018000,0.000000,-0.002000,-0.011000,0.001000,-0.001000,0.098044,1.548619,0.209081,-0.078592,0.783045,0.008626
0.0148,-119.9590,0.000000,0.711000,-2.101000,0.349000,-0.864000,0.000000,-0.018000,0.000000,0.000000,-0.011000,0.001000,0.009000,0.098044,1.553344,0.216169,-0.078592,0.784004,0.000000
0.0169,-119.9460,0.000000,0.711000,-2.101000,0.349000,-0.864000,0.000000,-0.018000,0.000000,0.000000,-0.011000,0.001000,0.009000,0.098044,1.553344,0.216169,-0.078592,0.784004,0.000000
0.0189,-119.9330,0.000000,0.711000,-2.101000,0.349000,-0.864000,0.000000,-0.015000,0.002000,0.000000,-0.011000,0.001000,0.009000,0.083869,1.554525,0.216169,-0.078592,0.784004,0.000000
0.0210,-119.9170,0.000000,0.711000,-2.101000,0.349000,-0.864000,0.000000,-0.015000,0.002000,0.005000,-0.009000,-0.001000,0.009000,0.083869,1.554525,0.274050,-0.079551,0.783045,0.000000
0.0231,-119.9000,0.000000,0.711000,-2.101000,0.349000,-0.864000,0.000000,-0.015000,0.002000,0.005000,-0.009000,-0.001000,0.009000,0.083869,1.554525,0.274050,-0.079551,0.783045,0.000000
