t_s,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,tau_ff_target_nm,tau_total_target_est_nm
0.001102,0.006000,0.100000,0.006000,3.179649,3.179649
0.010815,0.007000,0.100000,0.006000,3.179649,3.193649
0.022615,0.008000,0.100000,0.006000,3.179649,3.207649
0.031295,0.009000,0.100000,0.006000,3.179649,3.221649
0.042357,0.010000,0.100000,0.006000,3.179648,3.235648
0.053955,0.011000,0.100000,0.006000,3.179647,3.249647
0.062968,0.012000,0.100000,0.006000,3.179643,3.263643
0.072873,0.013000,0.100000,0.006000,3.179642,3.277642
0.083084,0.014000,0.100000,0.006000,3.179619,3.291619
0.093254,0.015000,0.100000,0.006000,3.179615,3.305615
0.103587,0.016000,0.100000,0.006000,3.179615,3.319615
0.113488,0.017000,0.100000,0.007000,3.178351,3.318351
0.124041,0.018000,0.100000,0.007000,3.178351,3.332351
0.134204,0.019000,0.100000,0.007000,3.178351,3.346351
0.144505,0.020000,0.100000,0.008000,3.177083,3.345083
0.154998,0.021000,0.100000,0.009000,3.175812,3.343812
0.164791,0.022000,0.100000,0.012000,3.171979,3.311979
0.175110,0.023000,0.100000,0.013000,3.170694,3.310694
0.185855,0.024000,0.100000,0.017000,3.165527,3.263527
0.196267,0.025000,0.100000,0.018000,3.164210,3.262210
0.206230,0.026000,0.100000,0.020000,3.161602,3.245602
0.216055,0.027000,0.100000,0.023000,3.157650,3.213650
0.228326,0.028000,0.100000,0.024000,3.156331,3.212331
0.238080,0.029000,0.100000,0.026000,3.153685,3.195685
0.246992,0.030000,0.100000,0.026000,3.153685,3.209685
0.257845,0.031000,0.100000,0.027000,3.152357,3.208357
0.268058,0.032000,0.100000,0.027000,3.152357,3.222357
0.278402,0.033000,0.100000,0.027000,3.152357,3.236357
0.288733,0.034000,0.100000,0.027000,3.152357,3.250357
0.299070,0.035000,0.100000,0.027000,3.152357,3.264357
0.310150,0.036000,0.100000,0.027000,3.152357,3.278357
0.319591,0.037000,0.100000,0.027000,3.152357,3.292357
0.329804,0.038000,0.100000,0.028000,3.151026,3.291026
0.339760,0.039000,0.100000,0.030000,3.148355,3.274355
0.349880,0.040000,0.100000,0.031000,3.147014,3.273014
0.360074,0.041000,0.100000,0.033000,3.144324,3.256324
0.370133,0.042000,0.100000,0.035000,3.141621,3.239621
0.380770,0.043000,0.100000,0.037000,3.138906,3.222906
0.390487,0.044000,0.100000,0.038000,3.137544,3.221544
0.400779,0.045000,0.100000,0.039000,3.136178,3.220178
0.411051,0.046000,0.100000,0.041000,3.133438,3.203438
0.421290,0.047000,0.100000,0.041000,3.133438,3.217438
0.431372,0.048000,0.100000,0.042000,3.132063,3.216063
0.444774,0.049000,0.100000,0.042000,3.132063,3.230063
0.452797,0.050000,0.100000,0.043000,3.130685,3.228685
0.462356,0.051000,0.100000,0.043000,3.130685,3.242685
0.472903,0.052000,0.100000,0.043000,3.130685,3.256685
0.482662,0.053000,0.100000,0.044000,3.129303,3.255303
0.492868,0.054000,0.100000,0.045000,3.127919,3.253919
0.503030,0.055000,0.100000,0.047000,3.125141,3.237141
0.513136,0.056000,0.100000,0.047000,3.125141,3.251141
0.523363,0.057000,0.100000,0.050000,3.120950,3.218950
0.533463,0.058000,0.100000,0.051000,3.119547,3.217547
0.543707,0.059000,0.100000,0.052000,3.118141,3.216141
0.553836,0.060000,0.100000,0.054000,3.115319,3.199319
0.563890,0.061000,0.100000,0.055000,3.113904,3.197904
0.574093,0.062000,0.100000,0.057000,3.111063,3.181063
0.584384,0.063000,0.100000,0.058000,3.109638,3.179638
0.594565,0.064000,0.100000,0.058000,3.109638,3.193638
0.604783,0.065000,0.100000,0.060000,3.106779,3.176779
0.615061,0.066000,0.100000,0.060000,3.106773,3.190773
0.625313,0.067000,0.100000,0.061000,3.105339,3.189339
0.635325,0.068000,0.100000,0.061000,3.105339,3.203339
0.645491,0.069000,0.100000,0.061000,3.105345,3.217345
0.656118,0.070000,0.100000,0.062000,3.103908,3.215908
0.666297,0.071000,0.100000,0.063000,3.102467,3.214467
0.675951,0.072000,0.100000,0.063000,3.102467,3.228467
0.686612,0.073000,0.100000,0.064000,3.101024,3.227024
0.696838,0.074000,0.100000,0.065000,3.099577,3.225577
0.710121,0.075000,0.100000,0.065000,3.099577,3.239577
0.719729,0.076000,0.100000,0.065000,3.099577,3.253577
0.726826,0.077000,0.100000,0.067000,3.096675,3.236675
0.738987,0.078000,0.100000,0.068000,3.095219,3.235219
0.748810,0.079000,0.100000,0.070000,3.092297,3.218297
0.759044,0.080000,0.100000,0.071000,3.090832,3.216832
0.769366,0.081000,0.100000,0.074000,3.086418,3.184418
0.779552,0.082000,0.100000,0.077000,3.081976,3.151976
0.789916,0.083000,0.100000,0.078000,3.080489,3.150489
0.799784,0.084000,0.100000,0.080000,3.077506,3.133506
0.810300,0.085000,0.100000,0.081000,3.076010,3.132010
0.820818,0.086000,0.100000,0.081000,3.076010,3.146010
0.830989,0.087000,0.100000,0.082000,3.074511,3.144511
0.841048,0.088000,0.100000,0.082000,3.074511,3.158511
0.851142,0.089000,0.100000,0.082000,3.074511,3.172511
0.861184,0.090000,0.100000,0.081000,3.076010,3.202010
0.871296,0.091000,0.100000,0.081000,3.076010,3.216010
0.882359,0.092000,0.100000,0.081000,3.076010,3.230010
0.892365,0.093000,0.100000,0.082000,3.074511,3.228511
0.902743,0.094000,0.100000,0.083000,3.073009,3.227009
0.914889,0.095000,0.100000,0.085000,3.069995,3.209995
0.925258,0.096000,0.100000,0.085000,3.069995,3.223995
0.935084,0.097000,0.100000,0.088000,3.065452,3.191452
0.945211,0.098000,0.100000,0.090000,3.062408,3.174408
0.955301,0.099000,0.100000,0.093000,3.057818,3.141818
0.965573,0.100000,0.100000,0.094000,3.056282,3.140282
0.975698,0.101000,0.100000,0.097000,3.051656,3.107656
0.985805,0.102000,0.100000,0.098000,3.050108,3.106108
0.995953,0.103000,0.100000,0.099000,3.048557,3.104557
1.006054,0.104000,0.100000,0.100000,3.047003,3.103003
1.016239,0.105000,0.100000,0.100000,3.047003,3.117003
1.026344,0.106000,0.100000,0.100000,3.047003,3.131003
1.038000,0.107000,0.100000,0.099000,3.048557,3.160557
1.049756,0.108000,0.100000,0.099000,3.048557,3.174557
1.057609,0.109000,0.100000,0.099000,3.048557,3.188557
1.067858,0.110000,0.100000,0.099000,3.048557,3.202557
1.078145,0.111000,0.100000,0.100000,3.047003,3.201003
1.088404,0.112000,0.100000,0.101000,3.045445,3.199445
1.098583,0.113000,0.100000,0.103000,3.042322,3.182322
1.108777,0.114000,0.100000,0.104000,3.040755,3.180755
1.119074,0.115000,0.100000,0.107000,3.036038,3.148038
1.129612,0.116000,0.100000,0.110000,3.031293,3.115293
1.139601,0.117000,0.100000,0.111000,3.029705,3.113705
1.149804,0.118000,0.100000,0.114000,3.024924,3.080924
1.159952,0.119000,0.100000,0.115000,3.023324,3.079324
1.170088,0.120000,0.100000,0.116000,3.021722,3.077722
1.180224,0.121000,0.100000,0.117000,3.020116,3.076116
1.190314,0.122000,0.100000,0.118000,3.018507,3.074507
1.200581,0.123000,0.100000,0.118000,3.018507,3.088507
1.210928,0.124000,0.100000,0.119000,3.016895,3.086895
1.220894,0.125000,0.100000,0.119000,3.016895,3.100895
1.231021,0.126000,0.100000,0.119000,3.016895,3.114895
1.241207,0.127000,0.100000,0.120000,3.015280,3.113280
1.252325,0.128000,0.100000,0.120000,3.015280,3.127280
1.262810,0.129000,0.100000,0.120000,3.015288,3.141288
1.272476,0.130000,0.100000,0.121000,3.013671,3.139671
1.282736,0.131000,0.100000,0.121000,3.013662,3.153662
1.292913,0.132000,0.100000,0.123000,3.010418,3.136418
1.303236,0.133000,0.100000,0.123000,3.010418,3.150418
