time_s,tau_cmd_j1,tau_cmd_j2,tau_cmd_j3,tau_cmd_j4,tau_cmd_j5,tau_cmd_j6,tau_meas_j1,tau_meas_j2,tau_meas_j3,tau_meas_j4,tau_meas_j5,tau_meas_j6
0.008996265009045601,-5.421010862427522e-20,0.8033526216843881,-0.70008777393469,-0.03227785961730832,-0.05661848266510237,5.300594177988721e-06,0.0921375,0.23034374999999999,-0.4961249999999999,-0.02108568,-0.04408824,-0.00191688
0.01981041580438614,-5.421010862427522e-20,0.8033526216843881,-0.70008777393469,-0.03227785961730832,-0.05661848266510237,5.300594177988721e-06,0.06614999999999999,0.67213125,-0.62251875,-0.06517392,-0.03929604,0.0
0.0251470860093832,-1.6263032587282567e-18,0.8031060044097353,-0.7001969419313966,-0.03228079587490396,-0.05660213357076108,5.2992510089060055e-06,0.03307499999999999,0.9497249999999999,-0.6969375,-0.06517392,-0.04121292,0.0287532
0.038365816697478294,5.421010862427522e-20,0.8032151724064417,-0.70008777393469,-0.03227785961730832,-0.05661848266510237,5.300594177988721e-06,0.0448875,0.817425,-0.7347374999999999,-0.08817648,-0.11213748,0.04600512
0.049324262887239456,4.228388472693467e-18,0.8032315218957705,-0.7000714244453612,-0.03232533596024571,-0.05660252306212896,5.299242858493954e-06,0.034256249999999995,0.8398687499999999,-0.7229249999999999,-0.095844,-0.09488556,0.02108568
0.05539720691740513,4.228388472693467e-18,0.8032315218957705,-0.7000714244453612,-0.03232533596024571,-0.05660252306212896,5.299242858493954e-06,0.034256249999999995,0.864675,-0.71938125,-0.09296868,-0.09488556,0.03067008
0.06579924002289772,2.9815559743351372e-18,0.803232114190005,-0.7000708321511269,-0.03242879765606109,-0.05659300229900853,5.301039482143975e-06,0.03189375,0.86585625,-0.72410625,-0.09296868,-0.0910518,0.02683632
0.07756621949374676,2.9815559743351372e-18,0.803232114190005,-0.7000708321511269,-0.03242879765606109,-0.05659300229900853,5.301039482143975e-06,0.0307125,0.8504999999999999,-0.7170187499999999,-0.09296868,-0.09776088000000001,0.03450384
0.08875511400401592,2.9815559743351372e-18,0.803232114190005,-0.7000708321511269,-0.03242879765606109,-0.05659300229900853,5.301039482143975e-06,0.03661875,0.8398687499999999,-0.7205625,-0.09488556,-0.08242584,0.05175576
0.09933513402938843,2.9815559743351372e-18,0.803232114190005,-0.7000708321511269,-0.03242879765606109,-0.05659300229900853,5.301039482143975e-06,0.02716875,0.836325,-0.72765,-0.09201024,-0.0910518,0.03546228
0.10520121827721596,2.9815559743351372e-18,0.803232114190005,-0.7000708321511269,-0.03242879765606109,-0.05659300229900853,5.301039482143975e-06,0.02716875,0.84105,-0.72765,-0.09201024,-0.0910518,0.0335454
0.11933563463389874,2.9815559743351372e-18,0.803232114190005,-0.7000708321511269,-0.03242879765606109,-0.05659300229900853,5.301039482143975e-06,0.02953125,0.85168125,-0.7170187499999999,-0.08625959999999999,-0.09296868,0.02683632
0.1272442415356636,2.9815559743351372e-18,0.803232114190005,-0.7000708321511269,-0.03242879765606109,-0.05659300229900853,5.301039482143975e-06,0.02953125,0.8611312499999999,-0.7229249999999999,-0.09392712,-0.09296868,0.0335454
0.1390229780226946,2.9815559743351372e-18,0.803232114190005,-0.7000708321511269,-0.03242879765606109,-0.05659300229900853,5.301039482143975e-06,0.04134375,0.8445937499999999,-0.7158375,-0.09201024,-0.10446996,0.03067008
