t_s,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,qd_target_rad_s,tau_ff_target_nm,tau_pd_target_nm,tau_total_target_model_nm,tau_total_target_actual_nm
0.004546,0.006000,0.100000,0.006000,0.000000,3.179669,0.079273,3.258942,1.629471
0.012261,0.006500,0.100000,0.006000,0.000000,3.179649,0.095125,3.274774,1.637387
0.017429,0.007000,0.100000,0.006000,0.000000,3.179669,0.110982,3.290651,1.645326
0.025039,0.007500,0.100000,0.006000,0.000000,3.179649,0.126833,3.306482,1.653241
0.030116,0.008000,0.100000,0.006000,-0.040000,3.179649,0.174395,3.354045,1.677022
0.035529,0.008500,0.100000,0.006000,-0.022000,3.179649,0.175981,3.355630,1.677815
0.040422,0.009000,0.100000,0.006000,-0.018000,3.179649,0.188664,3.368313,1.684157
0.046038,0.009500,0.100000,0.006000,-0.018000,3.179648,0.204518,3.384166,1.692083
0.051556,0.010000,0.100000,0.006000,-0.026000,3.179628,0.226707,3.406335,1.703167
0.058491,0.010500,0.100000,0.006000,-0.027000,3.179608,0.243347,3.422955,1.711478
0.063755,0.011000,0.100000,0.006000,-0.022000,3.179587,0.255230,3.434817,1.717408
0.069311,0.011500,0.100000,0.005000,-0.024000,3.180823,0.304363,3.485186,1.742593
0.074317,0.012000,0.100000,0.005000,-0.033000,3.180804,0.327340,3.508144,1.754072
0.079975,0.012500,0.100000,0.005000,-0.033000,3.180801,0.343191,3.523992,1.761996
0.085025,0.013000,0.100000,0.005000,-0.022000,3.180799,0.350323,3.531122,1.765561
0.090384,0.013500,0.100000,0.005000,-0.013000,3.180799,0.359042,3.539841,1.769920
0.095275,0.014000,0.100000,0.005000,-0.013000,3.180799,0.374893,3.555693,1.777846
0.100350,0.014500,0.100000,0.005000,-0.027000,3.180799,0.401841,3.582641,1.791320
0.106033,0.015000,0.100000,0.005000,-0.021000,3.180800,0.412938,3.593738,1.796869
0.110775,0.015500,0.100000,0.005000,0.000000,3.180800,0.412146,3.592946,1.796473
0.116407,0.016000,0.100000,0.005000,0.000000,3.180800,0.427997,3.608797,1.804399
0.121541,0.016500,0.100000,0.005000,0.000000,3.180819,0.443861,3.624680,1.812340
0.128909,0.017000,0.100000,0.005000,0.000000,3.180819,0.459713,3.640532,1.820266
0.133827,0.017500,0.100000,0.005000,0.000000,3.180819,0.475565,3.656384,1.828192
0.139591,0.018000,0.100000,0.005000,0.000000,3.180819,0.491417,3.672236,1.836118
0.144258,0.018500,0.100000,0.005000,0.005000,3.180800,0.503293,3.684093,1.842047
0.149314,0.019000,0.100000,0.005000,0.005000,3.180800,0.519145,3.699945,1.849972
0.154767,0.019500,0.100000,0.005000,0.000000,3.180800,0.538960,3.719760,1.859880
0.159565,0.020000,0.100000,0.005000,0.000000,3.180800,0.554811,3.735611,1.867806
0.164645,0.020500,0.100000,0.005000,0.000000,3.180800,0.570663,3.751463,1.875732
0.169718,0.021000,0.100000,0.005000,0.000000,3.180800,0.586515,3.767315,1.883657
0.175381,0.021500,0.100000,0.005000,0.000000,3.180800,0.602367,3.783167,1.891583
0.180688,0.022000,0.100000,0.005000,0.000000,3.180800,0.618218,3.799018,1.899509
0.185838,0.022500,0.100000,0.005000,0.000000,3.180800,0.634070,3.814870,1.907435
0.190971,0.023000,0.100000,0.005000,0.000000,3.180800,0.649922,3.830722,1.915361
0.196154,0.023500,0.100000,0.005000,0.000000,3.180800,0.665774,3.846574,1.923287
0.201282,0.024000,0.100000,0.005000,0.000000,3.180800,0.681625,3.862425,1.931213
0.206551,0.024500,0.100000,0.005000,0.000000,3.180800,0.697477,3.878277,1.939139
0.211695,0.025000,0.100000,0.005000,0.020000,3.180800,0.697477,3.878277,1.939139
0.217425,0.025500,0.100000,0.005000,0.015000,3.180800,0.717292,3.898092,1.949046
0.222553,0.026000,0.100000,0.005000,0.015000,3.180800,0.733143,3.913944,1.956972
0.228449,0.026500,0.100000,0.005000,0.002000,3.180800,0.759299,3.940099,1.970049
0.233774,0.027000,0.100000,0.005000,0.002000,3.180800,0.775151,3.955951,1.977975
0.238954,0.027500,0.100000,0.005000,0.000000,3.180800,0.792588,3.973388,1.986694
0.244662,0.028000,0.100000,0.005000,0.000000,3.180800,0.808439,3.989239,1.994620
0.249905,0.028500,0.100000,0.005000,0.000000,3.180800,0.824291,4.005091,2.002546
0.255014,0.029000,0.100000,0.005000,0.000000,3.180800,0.840143,4.020943,2.010471
0.260061,0.029500,0.100000,0.005000,0.000000,3.180819,0.856017,4.036836,2.018418
0.265110,0.030000,0.100000,0.005000,0.000000,3.180819,0.871869,4.052689,2.026344
0.270241,0.030500,0.100000,0.005000,0.000000,3.180819,0.887722,4.068541,2.034270
0.275510,0.031000,0.100000,0.005000,0.000000,3.180819,0.903574,4.084393,2.042196
0.281000,0.031500,0.100000,0.005000,0.000000,3.180819,0.919426,4.100245,2.050123
0.286788,0.032000,0.100000,0.005000,0.000000,3.180819,0.935278,4.116097,2.058049
0.291302,0.032500,0.100000,0.005000,0.000000,3.180819,0.951130,4.131949,2.065975
0.299404,0.033000,0.100000,0.005000,0.000000,3.180819,0.966982,4.147802,2.073901
0.304757,0.033500,0.100000,0.005000,0.000000,3.180819,0.982835,4.163654,2.081827
0.309567,0.034000,0.100000,0.005000,0.000000,3.180819,0.998687,4.179506,2.089753
0.314635,0.034500,0.100000,0.005000,0.000000,3.180819,1.014539,4.195358,2.097679
0.320097,0.035000,0.100000,0.005000,0.001000,3.180819,1.029598,4.210418,2.105209
