time_s,tau_j1,tau_j2,tau_j3,tau_j4,tau_j5,tau_j6
0.00038075633347034454,1.1350241493207625e-19,3.2135175043780433,-2.802902846455532,-0.011829582138631094,-0.23147179057268785,-1.5607004929153252e-06
0.010113578289747238,-1.6466320494623599e-18,3.2141136559743813,-2.8023066948591944,-0.011862428635890805,-0.2308756557787571,-1.556791605208819e-06
0.02035275101661682,-1.5720931501039814e-18,3.215375166358058,-2.8010451844755173,-0.01192795248515163,-0.22961418599304967,-1.5485253438737164e-06
0.03048361837863922,4.811147140404426e-19,3.2139254139888527,-2.800379951838166,-0.011960623284822433,-0.22894897714720053,-1.5441687968643659e-06
0.040596989914774895,-6.776263578034403e-20,3.214086906629507,-2.7991248787350207,-0.012019264460494592,-0.22769395272664447,-1.5359534263118951e-06
0.050800589844584465,4.675621868843738e-19,3.2152405438824383,-2.797971241482089,-0.012044159192309462,-0.22703874700015322,-1.531660780665175e-06
0.060937849804759026,-1.3552527156068805e-20,3.217874367118487,-2.7947816079229693,-0.012102312881480417,-0.22535982075769806,-1.5206632569883826e-06
0.07096833921968937,-3.4626706883755798e-18,3.219294329683747,-2.792799822379166,-0.012132256532224557,-0.22439801478068372,-1.5143640202844792e-06
0.081174086779356,-1.8634724839594607e-18,3.2228832837857206,-2.789210868277193,-0.012148769800010376,-0.22340388371305345,-1.507836962245622e-06
0.09120910055935383,-2.1480755542369057e-18,3.2252270874032494,-2.7868670646596634,-0.01218797727162798,-0.22211601237025747,-1.4994102581277484e-06
0.10137057863175869,-2.0328790734103208e-20,3.230341336709712,-2.7817528153532014,-0.012204411032087555,-0.22077814431587306,-1.4906267543932196e-06
0.11149940825998783,-3.5236570605778894e-19,3.233480038187861,-2.7786141138750517,-0.012241712132260883,-0.21929635607433515,-1.4809311201448641e-06
0.1216327641159296,3.7947076036992655e-19,3.238011089721758,-2.7740830623411554,-0.012252185877477105,-0.21814813541257277,-1.4733934688377793e-06
0.13167445920407772,-1.1248597539537109e-18,3.241116318199581,-2.7709778338633324,-0.012282537166269503,-0.21676886902975062,-1.4643698901133186e-06
0.14218035526573658,-7.995991022080595e-19,3.2443624494138623,-2.7677317026490504,-0.012292179711384467,-0.2158597352359266,-1.4584075241405415e-06
0.15527666173875332,4.87890977618477e-19,3.2528702373087306,-2.759223914754181,-0.012296291381019562,-0.2139890732822023,-1.4461158825553328e-06
0.16549276188015938,2.3174821436877657e-18,3.2565374982292825,-2.755556653833631,-0.01231134740884912,-0.21281173100550915,-1.4384029825319535e-06
0.17553049884736538,-2.0328790734103208e-19,3.259721136364913,-2.752373015698001,-0.012310506370311822,-0.21215867331934013,-1.4341092536897887e-06
0.1856050193309784,-8.131516293641283e-19,3.2658980817140275,-2.746196070348886,-0.012298835911106193,-0.21116476444142393,-1.4275556824227978e-06
0.19577542319893837,-2.574980159653073e-19,3.2693353323879553,-2.7427588196749584,-0.012300498686930242,-0.2103799037115498,-1.4224005314795107e-06
0.20592867396771908,-4.607859233063394e-19,3.2757858628735343,-2.7363082891893793,-0.012287621672180891,-0.20935564284624908,-1.4156446364064917e-06
0.21610027737915516,-1.7618285302889447e-19,3.2797201038950368,-2.7323740481678764,-0.012274116149047165,-0.2088949618931273,-1.4125906684488797e-06
0.22624779120087624,-1.0842021724855044e-18,3.2863403637918194,-2.7257537882710947,-0.012256849407343241,-0.207963588374086,-1.4064350650684363e-06
0.2362847439944744,1.4907779871675686e-18,3.2897159383995693,-2.722378213663343,-0.012247921795843258,-0.207492906756546,-1.4033234838919555e-06
0.24636040814220905,-2.2090619264392153e-18,3.293016259812287,-2.719077892250626,-0.012235696045494609,-0.20713771298858616,-1.4009638231363848e-06
0.2564775552600622,-1.81603863891322e-18,3.299983326667338,-2.7121108253955746,-0.012216866323401781,-0.20618143372521705,-1.394639298290788e-06
0.26658924110233784,-1.1926223897340549e-18,3.3035319787099144,-2.708562173352999,-0.012207158175070381,-0.20569834190765854,-1.3914435388048224e-06
0.2768635004758835,1.6263032587282567e-19,3.310759236134293,-2.7013349159286197,-0.012187156080485944,-0.2047222925479635,-1.3849852813661537e-06
0.28739427775144577,2.1819568721270777e-18,3.314437725880131,-2.6976564261827822,-0.012176862454265996,-0.20422935062259595,-1.3817228867454327e-06
0.29807417280972004,-3.415236843329339e-18,3.3219241331612572,-2.6901700189016555,-0.012155690867457013,-0.20323367171599624,-1.375131826691604e-06
0.30905602872371674,-1.9786689647860456e-18,3.3295827104053513,-2.682511441657562,-0.012133741302494047,-0.2022249859245125,-1.3684527576646188e-06
0.3194139078259468,-1.9786689647860456e-18,3.3295827104053513,-2.682511441657562,-0.012133741302494047,-0.2022249859245125,-1.3684527576646188e-06
0.3296132739633322,-2.574980159653073e-19,3.34039347313411,-2.6717006789288043,-0.012102292947208337,-0.20081692388272104,-1.3591261217707647e-06
0.33980825170874596,6.776263578034403e-20,3.343398024090212,-2.6686961279727015,-0.012093461807176482,-0.20042868261089514,-1.3565539041515756e-06
0.349928205832839,-2.927345865710862e-18,3.3473110337626135,-2.6647831183002997,-0.012078453479169221,-0.20003863538436972,-1.353954807885291e-06
