time_s,joint1_target_angle_rad,joint2_target_angle_rad,joint3_target_angle_rad,joint4_target_angle_rad,joint5_target_angle_rad,joint6_target_angle_rad,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_velocity_rad_s,joint2_velocity_rad_s,joint3_velocity_rad_s,joint4_velocity_rad_s,joint5_velocity_rad_s,joint6_velocity_rad_s,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm,mode,excited_joint,freq_hz,amp_deg
0,0,0.523599,-0.523599,0,0,0,0,0.53,-0.531,0,-0.008,0,-0.001,0.003,0,-0.019,0.024,0.003,-0.111037,0.3402,-1.047769,0.003834,-1.102206,-0.029712,single_joint_sine,3,0.3,30
0,0,0.523599,-0.523599,0,0,0,0,0.53,-0.531,0,-0.008,0,-0.001,0,0.004,-0.009,0.024,-0.009,-0.111037,0.347287,-1.059581,-0.007668,-1.102206,-0.033545,single_joint_sine,3,0.3,30
0.0051,0,0.523599,-0.518555,0,0,0,0,0.53,-0.531,0,-0.008,0,0,0,0.004,0.023,0,-0.009,-0.133481,0.347287,-1.059581,-0.009584,-1.118499,-0.033545,single_joint_sine,3,0.3,30
0.0102,0,0.523599,-0.513546,0,0,0,0,0.53,-0.531,0,-0.008,0,0.002,0,-0.002,0.009,0.019,-0.009,-0.126394,0.339019,-1.041862,-0.007668,-1.109874,-0.033545,single_joint_sine,3,0.3,30
0.0153,0,0.523599,-0.508554,0,0,0,0,0.53,-0.531,0,-0.008,0,0.002,0.005,0,0.009,0.019,-0.009,-0.126394,0.363825,-0.952087,-0.007668,-1.109874,-0.036421,single_joint_sine,3,0.3,30
0.0204,0,0.523599,-0.503493,0,0,0,0,0.53,-0.53,0,-0.008,0,0.003,0.001,0.08,0.019,-0.021,-0.009,-0.1323,0.348469,-0.993431,-0.011501,-1.115624,-0.042171,single_joint_sine,3,0.3,30
0.0255,0,0.523599,-0.498501,0,0,0,0,0.53,-0.53,0,-0.009,0,-0.004,0.001,0.08,0.007,-0.055,-0.009,-0.125213,0.348469,-0.993431,-0.017252,-1.068661,-0.042171,single_joint_sine,3,0.3,30
0.0306,0,0.523599,-0.493439,0,0,0,0,0.53,-0.53,0,-0.009,0,-0.002,0.006,0.124,0.007,-0.051,0.034,-0.135844,0.327206,-1.009969,-0.017252,-0.997736,-0.035462,single_joint_sine,3,0.3,30
0.0357,0,0.523599,-0.488395,0,0,0,0,0.53,-0.529,0,-0.009,0,-0.002,0,0.092,-0.011,-0.051,-0.005,-0.135844,0.352013,-0.845775,0.001917,-0.997736,-0.03067,single_joint_sine,3,0.3,30
0.0408,0,0.523599,-0.483404,0,0,0,0,0.53,-0.529,0,-0.009,0,0.001,0,0.092,-0.03,-0.047,-0.005,-0.129938,0.352013,-0.845775,0.004792,-0.968983,-0.03067,single_joint_sine,3,0.3,30
