t_s,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,qd_target_rad_s,tau_ff_target_nm,tau_pd_target_nm,tau_total_target_model_nm,tau_total_target_actual_nm
0.001580,0.006000,0.100000,0.006000,0.000000,3.179649,0.000000,3.179649,1.589825
0.010728,0.006500,0.100000,0.006000,0.000000,3.179669,0.000951,3.180621,1.590310
0.015922,0.007000,0.100000,0.006000,0.000000,3.179669,0.001903,3.181572,1.590786
0.021305,0.007500,0.100000,0.006000,0.000000,3.179649,0.002854,3.182503,1.591252
0.026107,0.008000,0.100000,0.006000,-0.029000,3.179649,0.003805,3.183454,1.591727
0.031446,0.008500,0.100000,0.006000,-0.029000,3.179649,0.004756,3.184406,1.592203
0.036658,0.009000,0.100000,0.006000,-0.054000,3.179649,0.005707,3.185357,1.592678
0.041792,0.009500,0.100000,0.006000,-0.007000,3.179647,0.006659,3.186306,1.593153
0.049112,0.010000,0.100000,0.006000,-0.024000,3.179645,0.007610,3.187255,1.593628
0.054949,0.010500,0.100000,0.005000,-0.080000,3.180905,0.010464,3.191368,1.595684
0.060305,0.011000,0.100000,0.005000,-0.105000,3.180902,0.011415,3.192316,1.596158
0.065242,0.011500,0.100000,0.005000,-0.105000,3.180902,0.012366,3.193268,1.596634
0.070306,0.012000,0.100000,0.004000,-0.064000,3.182138,0.015219,3.197358,1.598679
0.075526,0.012500,0.100000,0.004000,-0.018000,3.182136,0.016170,3.198307,1.599153
0.080824,0.013000,0.100000,0.004000,-0.037000,3.182136,0.017122,3.199258,1.599629
0.086299,0.013500,0.100000,0.004000,-0.037000,3.182136,0.018073,3.200209,1.600105
0.091437,0.014000,0.100000,0.003000,-0.080000,3.183392,0.020927,3.204318,1.602159
0.097003,0.014500,0.100000,0.003000,-0.058000,3.183392,0.021878,3.205269,1.602635
0.102123,0.015000,0.100000,0.003000,-0.058000,3.183392,0.022829,3.206221,1.603110
0.109687,0.015500,0.100000,0.003000,0.000000,3.183392,0.023780,3.207172,1.603586
0.114539,0.016000,0.100000,0.003000,0.000000,3.183392,0.024731,3.208123,1.604062
0.119733,0.016500,0.100000,0.003000,0.000000,3.183392,0.025683,3.209074,1.604537
0.125342,0.017000,0.100000,0.003000,-0.002000,3.183392,0.026634,3.210025,1.605013
0.129925,0.017500,0.100000,0.003000,0.000000,3.183392,0.027585,3.210977,1.605488
0.135500,0.018000,0.100000,0.003000,0.000000,3.183392,0.028536,3.211928,1.605964
0.140363,0.018500,0.100000,0.003000,0.000000,3.183392,0.029487,3.212879,1.606440
0.145494,0.019000,0.100000,0.003000,0.033000,3.183392,0.030439,3.213830,1.606915
0.150566,0.019500,0.100000,0.003000,0.000000,3.183392,0.031390,3.214782,1.607391
0.155635,0.020000,0.100000,0.003000,0.000000,3.183392,0.032341,3.215733,1.607866
0.160859,0.020500,0.100000,0.003000,0.000000,3.183392,0.033292,3.216684,1.608342
0.166048,0.021000,0.100000,0.003000,0.000000,3.183392,0.034243,3.217635,1.608818
0.171127,0.021500,0.100000,0.003000,0.000000,3.183392,0.035195,3.218586,1.609293
0.176083,0.022000,0.100000,0.003000,0.000000,3.183371,0.036145,3.219516,1.609758
0.181159,0.022500,0.100000,0.003000,0.000000,3.183371,0.037096,3.220468,1.610234
0.187576,0.023000,0.100000,0.003000,-0.003000,3.183371,0.038047,3.221419,1.610709
0.192774,0.023500,0.100000,0.003000,-0.003000,3.183371,0.038998,3.222370,1.611185
0.198558,0.024000,0.100000,0.003000,0.000000,3.183371,0.039950,3.223321,1.611661
